Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Reference
"=""3d5.(6S).4s""","=""a 7S""","=""3""","=""""","=""0.00000000""","=""""","=""0.00000014""","=""2.00183""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(6S).4s""","=""a 5S""","=""2""","=""""","=""0.94143042""","=""""","=""0.00000017""","=""2.006""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""0""","=""""","=""0.96097009""","=""""","=""0.00000016""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 5D""","=""1""","=""""","=""0.96841324""","=""""","=""0.00000014""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""2""","=""""","=""0.98287742""","=""""","=""0.00000014""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""3""","=""""","=""1.00367492""","=""""","=""0.00000014""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 5D""","=""4""","=""""","=""1.03000806""","=""""","=""0.00000015""","=""1.50060""","=""                                                     ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""2""","=""""","=""2.54383615""","=""""","=""0.00000015""","=""0.37""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""6""","=""""","=""2.54410014""","=""""","=""0.00000017""","=""1.33""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""3""","=""""","=""2.54426770""","=""""","=""0.00000015""","=""0.93""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""4""","=""""","=""2.54460569""","=""""","=""0.00000016""","=""1.13""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 5G""","=""5""","=""""","=""2.54463928""","=""""","=""0.00000017""","=""1.25""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""a 5P""","=""3""","=""""","=""2.70791527""","=""""","=""0.00000015""","=""1.6""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""a 5P""","=""2""","=""""","=""2.70878630""","=""""","=""0.00000015""","=""1.847""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4P).4s""","=""a 5P""","=""1""","=""""","=""2.70991379""","=""""","=""0.00000014""","=""2.500""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 3P""","=""0""","=""""","=""2.87187333""","=""""","=""0.00000022""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3P""","=""1""","=""""","=""2.91511324""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3P""","=""2""","=""""","=""2.98716595""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(6S).4p""","=""z 7P*""","=""2""","=""""","=""2.88945207""","=""""","=""0.00000019""","=""2.334""","=""  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 7P*""","=""3""","=""""","=""2.89953685""","=""""","=""0.00000017""","=""1.9176""","=""  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  ""","=""L18327,L7185"""
"=""3d5.(6S).4p""","=""z 7P*""","=""4""","=""""","=""2.91348182""","=""""","=""0.00000017""","=""1.7510""","=""  67             :    31  3d4.(5D).4s.4p.(3P*)  7P*  ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 3H""","=""4""","=""""","=""2.96741996""","=""""","=""0.00000019""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3H""","=""5""","=""""","=""2.98256889""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3H""","=""6""","=""""","=""3.00044215""","=""""","=""0.00000017""","=""""","=""                                                     ""","=""L18327"""
"=""3d5.(4D).4s""","=""b 5D""","=""0""","=""""","=""3.00997115""","=""""","=""0.00000019""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""4""","=""""","=""3.01062753""","=""""","=""0.00000015""","=""1.51""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""1""","=""""","=""3.01114742""","=""""","=""0.00000015""","=""1.48""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""2""","=""""","=""3.01279642""","=""""","=""0.00000015""","=""1.51""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4D).4s""","=""b 5D""","=""3""","=""""","=""3.01329987""","=""""","=""0.00000015""","=""1.55""","=""  98                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 3G""","=""3""","=""""","=""3.07899825""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 3G""","=""4""","=""""","=""3.08689206""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d5.(4G).4s""","=""a 3G""","=""5""","=""""","=""3.10437812""","=""""","=""0.00000017""","=""""","="" 100                                                 ""","=""L18327,L7185"""
"=""3d4.4s2""","=""a 3F""","=""2""","=""""","=""3.0922396""","=""""","=""0.0000003""","=""""","=""                                                     ""","=""L18327"""
"=""3d4.4s2""","=""a 3F""","=""3""","=""""","=""3.11278390""","=""""","=""0.00000019""","=""""","=""                                                     ""","=""L18327"""
