Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5p6.6s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0""","=""""","=""L15024"""
"=""5p6.6p""","=""2P*""","=""1/2""","=""""","=""1.385928617528""","=""""","=""0.000000000010""","=""1.385928617528""","=""L12151"""
"=""5p6.6p""","=""2P*""","=""3/2""","=""""","=""1.454620692074""","=""""","=""0.000000000025""","=""0.06869207455""","=""L15527"""
"=""5p6.5d""","=""2D""","=""3/2""","=""""","=""1.79767873""","=""""","=""0.00000012""","=""0.34305804""","=""L793"""
"=""5p6.5d""","=""2D""","=""5/2""","=""""","=""1.809777795""","=""""","=""0.000000025""","=""0.01209907""","=""L7057"""
"=""5p6.7s""","=""2S""","=""1/2""","=""""","=""2.2981127""","=""""","=""0.0000004""","=""0.4883349""","=""L7057"""
"=""5p6.7p""","=""2P*""","=""1/2""","=""""","=""2.6985592""","=""""","=""0.0000025""","=""0.400447""","=""L3506"""
"=""5p6.7p""","=""2P*""","=""3/2""","=""""","=""2.721006""","=""""","=""0.000003""","=""0.022447""","=""L3506,L6284"""
"=""5p6.6d""","=""2D""","=""3/2""","=""""","=""2.80065687""","=""""","=""0.00000012""","=""0.079651""","=""L4744"""
"=""5p6.6d""","=""2D""","=""5/2""","=""""","=""2.80597149""","=""""","=""0.00000012""","=""0.0053146""","=""L4744"""
"=""5p6.8s""","=""2S""","=""1/2""","=""""","=""3.01494227654""","=""""","=""0.00000000012""","=""0.20897079""","=""L12362"""
"=""5p6.4f""","=""2F*""","=""7/2""","=""""","=""3.03414695""","=""""","=""0.00000025""","=""0.01920467""","=""L793,L6284"""
"=""5p6.4f""","=""2F*""","=""5/2""","=""""","=""3.03416944""","=""""","=""0.00000025""","=""0.0000225""","=""L793"""
"=""5p6.8p""","=""2P*""","=""1/2""","=""""","=""3.187489360""","=""""","=""0.000000004""","=""0.1533199""","=""L9729"""
"=""5p6.8p""","=""2P*""","=""3/2""","=""""","=""3.197739""","=""""","=""0.000004""","=""0.010250""","=""L7057,L6284"""
"=""5p6.7d""","=""2D""","=""3/2""","=""""","=""3.22951984""","=""""","=""0.00000006""","=""0.031781""","=""L6147"""
"=""5p6.7d""","=""2D""","=""5/2""","=""""","=""3.23211592""","=""""","=""0.00000006""","=""0.00259608""","=""L7057"""
"=""5p6.9s""","=""2S""","=""1/2""","=""""","=""3.33649694""","=""""","=""0.00000006""","=""0.10438102""","=""L7057"""
