5p66s 	 2S 	 1/2 	  0.00000000                      	  0               	 L15024 
 	 	 	 	 	 
5p66p 	 2P° 	 1/2 	  1.385928617528                  	  0.000000000010  	 L12151 
 	 	 3/2 	  1.454620692074                  	  0.000000000025  	 L15527 
 	 	 	 	 	 
5p65d 	 2D 	 3/2 	  1.79767873                      	  0.00000012      	 L793 
 	 	 5/2 	  1.809777795                     	  0.000000025     	 L7057 
 	 	 	 	 	 
5p67s 	 2S 	 1/2 	  2.2981127                       	  0.0000004       	 L7057 
 	 	 	 	 	 
5p67p 	 2P° 	 1/2 	  2.6985592                       	  0.0000025       	 L3506 
 	 	 3/2 	  2.721006                        	  0.000003        	 L3506,L6284 
 	 	 	 	 	 
5p66d 	 2D 	 3/2 	  2.80065687                      	  0.00000012      	 L4744 
 	 	 5/2 	  2.80597149                      	  0.00000012      	 L4744 
 	 	 	 	 	 
5p68s 	 2S 	 1/2 	  3.01494227654                   	  0.00000000012   	 L12362 
 	 	 	 	 	 
5p64f 	 2F° 	 7/2 	  3.03414695                      	  0.00000025      	 L793,L6284 
 	 	 5/2 	  3.03416944                      	  0.00000025      	 L793 
 	 	 	 	 	 
5p68p 	 2P° 	 1/2 	  3.187489360                     	  0.000000004     	 L9729 
 	 	 3/2 	  3.197739                        	  0.000004        	 L7057,L6284 
 	 	 	 	 	 
5p67d 	 2D 	 3/2 	  3.22951984                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.23211592                      	  0.00000006      	 L7057 
 	 	 	 	 	 
5p69s 	 2S 	 1/2 	  3.33649694                      	  0.00000006      	 L7057 
 	 	 	 	 	 
5p65f 	 2F° 	 7/2 	  3.3439968                       	  0.0000004       	 L793,L6284 
 	 	 5/2 	  3.3440154                       	  0.0000004       	 L793 
 	 	 	 	 	 
5p65g 	 2G 	 7/2 	  3.34857194                      	  0.00000025      	 L7057 
 	 	 9/2 	  3.34857229                      	  0.00000025      	 L7057,L5289 
 	 	 	 	 	 
5p69p 	 2P° 	 1/2 	  3.42655087                      	  0.00000006      	 L7057 
 	 	 3/2 	  3.43209068                      	  0.00000014      	 L7057,L6284 
 	 	 	 	 	 
5p68d 	 2D 	 3/2 	  3.44815430                      	  0.00000006      	 L6147 
 	 	 5/2 	  3.44959750                      	  0.00000006      	 L7057 
 	 	 	 	 	 
5p610s 	 2S 	 1/2 	  3.50878117                      	  0.00000006      	 L7057 
 	 	 	 	 	 
5p66f 	 2F° 	 7/2 	  3.51239888                      	  0.00000006      	 L7057,L6284 
 	 	 5/2 	  3.51241200                      	  0.00000006      	 L7057 
 	 	 	 	 	 
5p66g 	 2G 	 7/2 	  3.51525509                      	  0.00000006      	 L7057 
 	 	 9/2 	  3.51525529                      	  0.00000007      	 L7057,L5289 
 	 	 	 	 	 
