Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""7s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.00000025""","=""""","=""L12264"""
"=""7p""","=""2P*""","=""1/2""","=""""","=""1.51724535""","=""""","=""0.00000025""","=""1.5172454""","=""L6679"""
"=""7p""","=""2P*""","=""3/2""","=""""","=""1.72635573""","=""""","=""0.00000025""","=""0.2091104""","=""L6679"""
"=""6d""","=""2D""","=""3/2""","=""""","=""2.012247""","=""""","=""0.000004""","=""0.285891""","=""L11797"""
"=""6d""","=""2D""","=""5/2""","=""""","=""2.037016""","=""""","=""0.000004""","=""0.024769""","=""L11797"""
"=""8s""","=""2S""","=""1/2""","=""""","=""2.447446""","=""""","=""0.000004""","=""0.410430""","=""L11797"""
"=""8p""","=""2P*""","=""1/2""","=""""","=""2.8656418""","=""""","=""0.0000006""","=""0.418196""","=""L6731"""
"=""8p""","=""2P*""","=""3/2""","=""""","=""2.9332561""","=""""","=""0.0000005""","=""0.0676143""","=""L6731"""
"=""7d""","=""2D""","=""3/2""","=""""","=""3.005877""","=""""","=""0.000004""","=""0.072621""","=""L11797"""
"=""7d""","=""2D""","=""5/2""","=""""","=""3.016899""","=""""","=""0.000004""","=""0.011022""","=""L11797"""
"=""9s""","=""2S""","=""1/2""","=""""","=""3.182798""","=""""","=""0.000005""","=""0.165899""","=""L11797"""
"=""9p""","=""2P*""","=""1/2""","=""""","=""3.362230""","=""""","=""0.000006""","=""0.179432""","=""L11797"""
"=""9p""","=""2P*""","=""3/2""","=""""","=""3.392976""","=""""","=""0.000006""","=""0.030746""","=""L11797"""
"=""8d""","=""2D""","=""3/2""","=""""","=""3.4220453""","=""""","=""0.0000009""","=""0.029069""","=""L10714"""
"=""8d""","=""2D""","=""5/2""","=""""","=""3.4275894""","=""""","=""0.0000009""","=""0.005544""","=""L10714"""
"=""10s""","=""2S""","=""1/2""","=""""","=""3.5100692""","=""""","=""0.0000007""","=""0.082480""","=""L10714"""
"=""10p""","=""2P*""","=""1/2""","=""""","=""3.603499""","=""""","=""0.000006""","=""0.093430""","=""L11797"""
"=""10p""","=""2P*""","=""3/2""","=""""","=""3.620102""","=""""","=""0.000006""","=""0.016603""","=""L11797"""
"=""9d""","=""2D""","=""3/2""","=""""","=""3.6347824""","=""""","=""0.0000009""","=""0.014680""","=""L10714"""
"=""9d""","=""2D""","=""5/2""","=""""","=""3.6379217""","=""""","=""0.0000009""","=""0.003139""","=""L10714"""
"=""11s""","=""2S""","=""1/2""","=""""","=""3.6846751""","=""""","=""0.0000007""","=""0.046753""","=""L10714"""
"=""11p""","=""2P*""","=""1/2""","=""""","=""3.739496""","=""""","=""0.000006""","=""0.054821""","=""L11797"""
"=""11p""","=""2P*""","=""3/2""","=""""","=""3.749481""","=""""","=""0.000006""","=""0.009985""","=""L11797"""
"=""10d""","=""2D""","=""3/2""","=""""","=""3.7579563""","=""""","=""0.0000007""","=""0.008475""","=""L10669"""
"=""10d""","=""2D""","=""5/2""","=""""","=""3.7598958""","=""""","=""0.0000007""","=""0.0019395""","=""L10669"""
"=""12s""","=""2S""","=""1/2""","=""""","=""3.7888956""","=""""","=""0.0000007""","=""0.0289998""","=""L10669"""
"=""12p""","=""2P*""","=""1/2""","=""""","=""3.823794""","=""""","=""0.000006""","=""0.034898""","=""L11797"""
"=""12p""","=""2P*""","=""3/2""","=""""","=""3.830264""","=""""","=""0.000006""","=""0.006470""","=""L11797"""
"=""11d""","=""2D""","=""3/2""","=""""","=""3.8356155""","=""""","=""0.0000007""","=""0.005351""","=""L10669"""
