7s 	 2S 	 1/2 	  0.00000000             	  0.00000025  	 L12264 
 	 	 	 	 	 
7p 	 2P° 	 1/2 	  1.51724535             	  0.00000025  	 L6679 
 	 	 3/2 	  1.72635573             	  0.00000025  	 L6679 
 	 	 	 	 	 
6d 	 2D 	 3/2 	  2.012247               	  0.000004    	 L11797 
 	 	 5/2 	  2.037016               	  0.000004    	 L11797 
 	 	 	 	 	 
8s 	 2S 	 1/2 	  2.447446               	  0.000004    	 L11797 
 	 	 	 	 	 
8p 	 2P° 	 1/2 	  2.8656418              	  0.0000006   	 L6731 
 	 	 3/2 	  2.9332561              	  0.0000005   	 L6731 
 	 	 	 	 	 
7d 	 2D 	 3/2 	  3.005877               	  0.000004    	 L11797 
 	 	 5/2 	  3.016899               	  0.000004    	 L11797 
 	 	 	 	 	 
9s 	 2S 	 1/2 	  3.182798               	  0.000005    	 L11797 
 	 	 	 	 	 
9p 	 2P° 	 1/2 	  3.362230               	  0.000006    	 L11797 
 	 	 3/2 	  3.392976               	  0.000006    	 L11797 
 	 	 	 	 	 
8d 	 2D 	 3/2 	  3.4220453              	  0.0000009   	 L10714 
 	 	 5/2 	  3.4275894              	  0.0000009   	 L10714 
 	 	 	 	 	 
10s 	 2S 	 1/2 	  3.5100692              	  0.0000007   	 L10714 
 	 	 	 	 	 
10p 	 2P° 	 1/2 	  3.603499               	  0.000006    	 L11797 
 	 	 3/2 	  3.620102               	  0.000006    	 L11797 
 	 	 	 	 	 
9d 	 2D 	 3/2 	  3.6347824              	  0.0000009   	 L10714 
 	 	 5/2 	  3.6379217              	  0.0000009   	 L10714 
 	 	 	 	 	 
11s 	 2S 	 1/2 	  3.6846751              	  0.0000007   	 L10714 
 	 	 	 	 	 
11p 	 2P° 	 1/2 	  3.739496               	  0.000006    	 L11797 
 	 	 3/2 	  3.749481               	  0.000006    	 L11797 
 	 	 	 	 	 
10d 	 2D 	 3/2 	  3.7579563              	  0.0000007   	 L10669 
 	 	 5/2 	  3.7598958              	  0.0000007   	 L10669 
 	 	 	 	 	 
12s 	 2S 	 1/2 	  3.7888956              	  0.0000007   	 L10669 
 	 	 	 	 	 
12p 	 2P° 	 1/2 	  3.823794               	  0.000006    	 L11797 
 	 	 3/2 	  3.830264               	  0.000006    	 L11797 
 	 	 	 	 	 
11d 	 2D 	 3/2 	  3.8356155              	  0.0000007   	 L10669 
 	 	 5/2 	  3.8368947              	  0.0000007   	 L10669 
 	 	 	 	 	 
13s 	 2S 	 1/2 	  3.8560994              	  0.0000007   	 L10669 
 	 	 	 	 	 
13p 	 2P° 	 1/2 	  3.879679               	  0.000006    	 L11797 
 	 	 3/2 	  3.884110               	  0.000006    	 L11797 
 	 	 	 	 	 
12d 	 2D 	 3/2 	  3.8877113              	  0.0000007   	 L10669 
 	 	 5/2 	  3.8885976              	  0.0000007   	 L10669 
 	 	 	 	 	 
14s 	 2S 	 1/2 	  3.9019644              	  0.0000007   	 L10669 
 	 	 	 	 	 
14p 	 2P° 	 1/2 	  3.918638               	  0.000006    	 L11797 
 	 	 3/2 	  3.921805               	  0.000006    	 L11797 
 	 	 	 	 	 
