Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""3p6.4s""","=""2S""","=""1/2""","=""""","=""0.00000000""","=""""","=""0.00000006""","=""""","=""2.002295""","=""L7185"""
"=""3p6.4p""","=""2P*""","=""1/2""","=""""","=""1.60995784350""","=""""","=""0.00000000025""","=""1.60995784""","=""""","=""L8995"""
"=""3p6.4p""","=""2P*""","=""3/2""","=""""","=""1.6171130092""","=""""","=""0.0000000005""","=""0.0071551657""","=""""","=""L8995"""
"=""3p6.5s""","=""2S""","=""1/2""","=""""","=""2.6069601""","=""""","=""0.0000006""","=""0.9898471""","=""""","=""L1792"""
"=""3p6.3d""","=""2D""","=""5/2""","=""""","=""2.6699600""","=""""","=""0.0000006""","=""0.0629999""","=""""","=""L1792"""
"=""3p6.3d""","=""2D""","=""3/2""","=""""","=""2.6702462""","=""""","=""0.0000006""","=""0.0002862""","=""""","=""L1792"""
"=""3p6.5p""","=""2P*""","=""1/2""","=""""","=""3.0625810""","=""""","=""0.0000006""","=""0.3923348""","=""0.665""","=""L1792"""
"=""3p6.5p""","=""2P*""","=""3/2""","=""""","=""3.0649066""","=""""","=""0.0000006""","=""0.0023256""","=""""","=""L1792"""
"=""3p6.4d""","=""2D""","=""5/2""","=""""","=""3.3968046""","=""""","=""0.0000006""","=""0.3318980""","=""""","=""L1792"""
"=""3p6.4d""","=""2D""","=""3/2""","=""""","=""3.3969373""","=""""","=""0.0000006""","=""0.0001327""","=""""","=""L1792"""
"=""3p6.6s""","=""2S""","=""1/2""","=""""","=""3.4034543""","=""""","=""0.0000004""","=""0.0065170""","=""""","=""L5770"""
"=""3p6.4f""","=""2F*""","=""5/2""","=""""","=""3.487409""","=""""","=""0.000006""","=""0.083955""","=""""","=""L6096"""
"=""3p6.4f""","=""2F*""","=""7/2""","=""""","=""3.487409""","=""""","=""0.000006""","=""0.000000""","=""""","=""L6096"""
"=""3p6.6p""","=""2P*""","=""1/2""","=""""","=""3.595451""","=""""","=""0.000006""","=""0.108042""","=""0.6663""","=""L6096"""
"=""3p6.6p""","=""2P*""","=""3/2""","=""""","=""3.596498""","=""""","=""0.000006""","=""0.001047""","=""1.3337""","=""L6096"""
"=""3p6.5d""","=""2D""","=""5/2""","=""""","=""3.7424933""","=""""","=""0.0000004""","=""0.145995""","=""1.2004""","=""L5770"""
"=""3p6.5d""","=""2D""","=""3/2""","=""""","=""3.7425557""","=""""","=""0.0000004""","=""0.0000624""","=""0.7997""","=""L5770"""
"=""3p6.7s""","=""2S""","=""1/2""","=""""","=""3.7535285""","=""""","=""0.0000004""","=""0.0109728""","=""2.0020""","=""L5770"""
"=""3p6.5f""","=""2F*""","=""5/2""","=""""","=""3.794751""","=""""","=""0.000007""","=""0.041223""","=""""","=""L6096"""
"=""3p6.5f""","=""2F*""","=""7/2""","=""""","=""3.794751""","=""""","=""0.000007""","=""0.000000""","=""""","=""L6096"""
"=""3p6.5g""","=""2G""","=""7/2""","=""""","=""3.7960626""","=""""","=""0.0000012""","=""0.001312""","=""""","=""L873"""
"=""3p6.5g""","=""2G""","=""9/2""","=""""","=""3.7960626""","=""""","=""0.0000012""","=""0.000000""","=""""","=""L873"""
"=""3p6.7p""","=""2P*""","=""1/2""","=""""","=""3.852177""","=""""","=""0.000007""","=""0.056114""","=""0.6659""","=""L6096"""
"=""3p6.7p""","=""2P*""","=""3/2""","=""""","=""3.852735""","=""""","=""0.000007""","=""0.000558""","=""1.3336""","=""L6096"""
"=""3p6.6d""","=""2D""","=""5/2""","=""""","=""3.9297908""","=""""","=""0.0000004""","=""0.077056""","=""1.2013""","=""L5770"""
"=""3p6.6d""","=""2D""","=""3/2""","=""""","=""3.9298237""","=""""","=""0.0000004""","=""0.0000329""","=""0.7999""","=""L5770"""
"=""3p6.8s""","=""2S""","=""1/2""","=""""","=""3.9384048""","=""""","=""0.0000004""","=""0.0085811""","=""2.0028""","=""L5770"""
"=""3p6.6f""","=""2F*""","=""5/2""","=""""","=""3.961688""","=""""","=""0.000007""","=""0.023283""","=""""","=""L6096"""
"=""3p6.6f""","=""2F*""","=""7/2""","=""""","=""3.961688""","=""""","=""0.000007""","=""0.000000""","=""""","=""L6096"""
"=""3p6.8p""","=""2P*""","=""1/2""","=""""","=""3.995693""","=""""","=""0.000007""","=""0.034005""","=""""","=""L6096"""
"=""3p6.8p""","=""2P*""","=""3/2""","=""""","=""3.996024""","=""""","=""0.000007""","=""0.000331""","=""""","=""L6096"""
"=""3p6.7d""","=""2D""","=""5/2""","=""""","=""4.04167262""","=""""","=""0.00000009""","=""0.045649""","=""""","=""L5451"""
"=""3p6.7d""","=""2D""","=""3/2""","=""""","=""4.04169191""","=""""","=""0.00000009""","=""0.0000193""","=""""","=""L5451"""
"=""3p6.9s""","=""2S""","=""1/2""","=""""","=""4.04787964""","=""""","=""0.00000009""","=""0.0061877""","=""""","=""L5451"""
"=""3p6.7f""","=""2F*""","=""5/2""","=""""","=""4.062317""","=""""","=""0.000007""","=""0.014437""","=""""","=""L6096"""
"=""3p6.7f""","=""2F*""","=""7/2""","=""""","=""4.062317""","=""""","=""0.000007""","=""0.000000""","=""""","=""L6096"""
"=""3p6.9p""","=""2P*""","=""1/2""","=""""","=""4.0840647""","=""""","=""0.0000004""","=""0.021748""","=""""","=""L5783"""
"=""3p6.9p""","=""2P*""","=""3/2""","=""""","=""4.0842783""","=""""","=""0.0000004""","=""0.0002136""","=""""","=""L5783"""
"=""3p6.8d""","=""2D""","=""5/2""","=""""","=""4.11356434""","=""""","=""0.00000009""","=""0.0292860""","=""""","=""L5451"""
"=""3p6.8d""","=""2D""","=""3/2""","=""""","=""4.11357655""","=""""","=""0.00000009""","=""0.0000122""","=""""","=""L5451"""
"=""3p6.10s""","=""2S""","=""1/2""","=""""","=""4.11803927""","=""""","=""0.00000009""","=""0.0044627""","=""""","=""L5451"""
"=""3p6.8f""","=""2F*""","=""5/2""","=""""","=""4.127608""","=""""","=""0.000007""","=""0.009569""","=""""","=""L6096"""
"=""3p6.8f""","=""2F*""","=""7/2""","=""""","=""4.127608""","=""""","=""0.000007""","=""0.000000""","=""""","=""L6096"""
"=""3p6.10p""","=""2P*""","=""1/2""","=""""","=""4.1423407""","=""""","=""0.0000004""","=""0.014733""","=""""","=""L5783"""
"=""3p6.10p""","=""2P*""","=""3/2""","=""""","=""4.1424855""","=""""","=""0.0000004""","=""0.0001448""","=""""","=""L5783"""
"=""3p6.9d""","=""2D""","=""5/2""","=""""","=""4.16240485""","=""""","=""0.00000009""","=""0.0199193""","=""""","=""L5451"""
"=""3p6.9d""","=""2D""","=""3/2""","=""""","=""4.16241300""","=""""","=""0.00000009""","=""0.0000082""","=""""","=""L5451"""
"=""3p6.11s""","=""2S""","=""1/2""","=""""","=""4.16569049""","=""""","=""0.00000009""","=""0.0032775""","=""""","=""L5451"""
"=""3p6.9f""","=""2F*""","=""5/2""","=""""","=""4.172356""","=""""","=""0.000007""","=""0.006666""","=""""","=""L6096"""
"=""3p6.9f""","=""2F*""","=""7/2""","=""""","=""4.172356""","=""""","=""0.000007""","=""0.000000""","=""""","=""L6096"""
"=""3p6.11p""","=""2P*""","=""1/2""","=""""","=""4.1827927""","=""""","=""0.0000004""","=""0.010437""","=""""","=""L5783"""
"=""3p6.11p""","=""2P*""","=""3/2""","=""""","=""4.1828956""","=""""","=""0.0000004""","=""0.0001029""","=""""","=""L5783"""
"=""3p6.10d""","=""2D""","=""5/2""","=""""","=""4.19706295""","=""""","=""0.00000009""","=""0.0141674""","=""""","=""L5451"""
"=""3p6.10d""","=""2D""","=""3/2""","=""""","=""4.19706867""","=""""","=""0.00000009""","=""0.0000057""","=""""","=""L5451"""
"=""3p6.12s""","=""2S""","=""1/2""","=""""","=""4.19952815""","=""""","=""0.00000009""","=""0.0024595""","=""""","=""L5451"""
"=""3p6.10f""","=""2F*""","=""5/2""","=""""","=""4.204356""","=""""","=""0.000007""","=""0.004828""","=""""","=""L6096"""
