3p64s 	 2S 	 1/2 	  0.00000000                    	  0.00000006     	  2.002295 	 L7185 
 	 	 	 	 	 	 
3p64p 	 2P° 	 1/2 	  1.60995784350                 	  0.00000000025  	  	 L8995 
 	 	 3/2 	  1.6171130092                  	  0.0000000005   	  	 L8995 
 	 	 	 	 	 	 
3p65s 	 2S 	 1/2 	  2.6069601                     	  0.0000006      	  	 L1792 
 	 	 	 	 	 	 
3p63d 	 2D 	 5/2 	  2.6699600                     	  0.0000006      	  	 L1792 
 	 	 3/2 	  2.6702462                     	  0.0000006      	  	 L1792 
 	 	 	 	 	 	 
3p65p 	 2P° 	 1/2 	  3.0625810                     	  0.0000006      	  0.665    	 L1792 
 	 	 3/2 	  3.0649066                     	  0.0000006      	  	 L1792 
 	 	 	 	 	 	 
3p64d 	 2D 	 5/2 	  3.3968046                     	  0.0000006      	  	 L1792 
 	 	 3/2 	  3.3969373                     	  0.0000006      	  	 L1792 
 	 	 	 	 	 	 
3p66s 	 2S 	 1/2 	  3.4034543                     	  0.0000004      	  	 L5770 
 	 	 	 	 	 	 
3p64f 	 2F° 	 5/2 	  3.487409                      	  0.000006       	  	 L6096 
 	 	 7/2 	  3.487409                      	  0.000006       	  	 L6096 
 	 	 	 	 	 	 
3p66p 	 2P° 	 1/2 	  3.595451                      	  0.000006       	  0.6663   	 L6096 
 	 	 3/2 	  3.596498                      	  0.000006       	  1.3337   	 L6096 
 	 	 	 	 	 	 
3p65d 	 2D 	 5/2 	  3.7424933                     	  0.0000004      	  1.2004   	 L5770 
 	 	 3/2 	  3.7425557                     	  0.0000004      	  0.7997   	 L5770 
 	 	 	 	 	 	 
3p67s 	 2S 	 1/2 	  3.7535285                     	  0.0000004      	  2.0020   	 L5770 
 	 	 	 	 	 	 
3p65f 	 2F° 	 5/2 	  3.794751                      	  0.000007       	  	 L6096 
 	 	 7/2 	  3.794751                      	  0.000007       	  	 L6096 
 	 	 	 	 	 	 
3p65g 	 2G 	 7/2 	  3.7960626                     	  0.0000012      	  	 L873 
 	 	 9/2 	  3.7960626                     	  0.0000012      	  	 L873 
 	 	 	 	 	 	 
3p67p 	 2P° 	 1/2 	  3.852177                      	  0.000007       	  0.6659   	 L6096 
 	 	 3/2 	  3.852735                      	  0.000007       	  1.3336   	 L6096 
 	 	 	 	 	 	 
3p66d 	 2D 	 5/2 	  3.9297908                     	  0.0000004      	  1.2013   	 L5770 
 	 	 3/2 	  3.9298237                     	  0.0000004      	  0.7999   	 L5770 
 	 	 	 	 	 	 
3p68s 	 2S 	 1/2 	  3.9384048                     	  0.0000004      	  2.0028   	 L5770 
 	 	 	 	 	 	 
