Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2.2s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0.000012""","=""""","=""L3462"""
"=""1s2.2p""","=""2P*""","=""1/2""","=""""","=""1.847818""","=""""","=""0.000012""","=""1.84782""","="""""
"=""1s2.2p""","=""2P*""","=""3/2""","=""""","=""1.847860""","=""""","=""0.000012""","=""0.00004""","="""""
"=""1s2.3s""","=""2S""","=""1/2""","=""""","=""3.373129""","=""""","=""0.000012""","=""1.52527""","="""""
"=""1s2.3p""","=""2P*""","=""1/2""","=""""","=""3.834258""","=""""","=""0.000012""","=""0.46113""","="""""
"=""1s2.3p""","=""2P*""","=""3/2""","=""""","=""3.834258""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.3d""","=""2D""","=""3/2""","=""""","=""3.878608""","=""""","=""0.000012""","=""0.04435""","="""""
"=""1s2.3d""","=""2D""","=""5/2""","=""""","=""3.878613""","=""""","=""0.000012""","=""0.00001""","="""""
"=""1s2.4s""","=""2S""","=""1/2""","=""""","=""4.340942""","=""""","=""0.000012""","=""0.46233""","="""""
"=""1s2.4p""","=""2P*""","=""1/2""","=""""","=""4.521648""","=""""","=""0.000012""","=""0.18071""","="""""
"=""1s2.4p""","=""2P*""","=""3/2""","=""""","=""4.521648""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.4d""","=""2D""","=""3/2""","=""""","=""4.540720""","=""""","=""0.000012""","=""0.01907""","="""""
"=""1s2.4d""","=""2D""","=""5/2""","=""""","=""4.540723""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.4f""","=""2F*""","=""5/2""","=""""","=""4.54157""","=""""","=""0.00012""","=""0.0008""","="""""
"=""1s2.4f""","=""2F*""","=""7/2""","=""""","=""4.54157""","=""""","=""0.00012""","=""0.0000""","="""""
"=""1s2.5s""","=""2S""","=""1/2""","=""""","=""4.748533""","=""""","=""0.000012""","=""0.2070""","="""""
"=""1s2.5p""","=""2P*""","=""1/2""","=""""","=""4.837313""","=""""","=""0.000012""","=""0.08878""","="""""
"=""1s2.5p""","=""2P*""","=""3/2""","=""""","=""4.837313""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.5d""","=""2D""","=""3/2""","=""""","=""4.847154""","=""""","=""0.000012""","=""0.00984""","="""""
"=""1s2.5d""","=""2D""","=""5/2""","=""""","=""4.847155""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.5f""","=""2F*""","=""5/2""","=""""","=""4.84834""","=""""","=""0.00012""","=""0.0012""","="""""
"=""1s2.5f""","=""2F*""","=""7/2""","=""""","=""4.84834""","=""""","=""0.00012""","=""0.0000""","="""""
"=""1s2.6s""","=""2S""","=""1/2""","=""""","=""4.957835""","=""""","=""0.000012""","=""0.1095""","="""""
"=""1s2.6p""","=""2P*""","=""1/2""","=""""","=""5.007826""","=""""","=""0.000012""","=""0.04999""","="""""
"=""1s2.6p""","=""2P*""","=""3/2""","=""""","=""5.007826""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.6d""","=""2D""","=""3/2""","=""""","=""5.013587""","=""""","=""0.000012""","=""0.00576""","="""""
"=""1s2.6d""","=""2D""","=""5/2""","=""""","=""5.013589""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.7s""","=""2S""","=""1/2""","=""""","=""5.07937""","=""""","=""0.00012""","=""0.0658""","="""""
"=""1s2.7p""","=""2P*""","=""1/2""","=""""","=""5.110300""","=""""","=""0.000012""","=""0.0309""","="""""
"=""1s2.7p""","=""2P*""","=""3/2""","=""""","=""5.110300""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.7d""","=""2D""","=""3/2""","=""""","=""5.11391""","=""""","=""0.00012""","=""0.0036""","="""""
"=""1s2.7d""","=""2D""","=""5/2""","=""""","=""5.11391""","=""""","=""0.00012""","=""0.0000""","="""""
"=""1s2.8s""","=""2S""","=""1/2""","=""""","=""5.15614""","=""""","=""0.00012""","=""0.0422""","="""""
"=""1s2.8p""","=""2P*""","=""1/2""","=""""","=""5.176542""","=""""","=""0.000012""","=""0.0204""","="""""
"=""1s2.8p""","=""2P*""","=""3/2""","=""""","=""5.176542""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.8d""","=""2D""","=""3/2""","=""""","=""5.17898""","=""""","=""0.00012""","=""0.0024""","="""""
"=""1s2.8d""","=""2D""","=""5/2""","=""""","=""5.17898""","=""""","=""0.00012""","=""0.0000""","="""""
"=""1s2.9s""","=""2S""","=""1/2""","=""""","=""5.20775""","=""""","=""0.00012""","=""0.0288""","="""""
"=""1s2.9p""","=""2P*""","=""1/2""","=""""","=""5.222000""","=""""","=""0.000012""","=""0.0143""","="""""
"=""1s2.9p""","=""2P*""","=""3/2""","=""""","=""5.222000""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.9d""","=""2D""","=""3/2""","=""""","=""5.22362""","=""""","=""0.00012""","=""0.0016""","="""""
"=""1s2.9d""","=""2D""","=""5/2""","=""""","=""5.22362""","=""""","=""0.00012""","=""0.0000""","="""""
"=""1s2.10s""","=""2S""","=""1/2""","=""""","=""5.2443""","=""""","=""0.0012""","=""0.021""","="""""
"=""1s2.10p""","=""2P*""","=""1/2""","=""""","=""5.254346""","=""""","=""0.000012""","=""0.010""","="""""
"=""1s2.10p""","=""2P*""","=""3/2""","=""""","=""5.254346""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.10d""","=""2D""","=""3/2""","=""""","=""5.2556""","=""""","=""0.0012""","=""0.001""","="""""
"=""1s2.10d""","=""2D""","=""5/2""","=""""","=""5.2556""","=""""","=""0.0012""","=""0.000""","="""""
"=""1s2.11s""","=""2S""","=""1/2""","=""""","=""5.2706""","=""""","=""0.0012""","=""0.015""","="""""
"=""1s2.11p""","=""2P*""","=""1/2""","=""""","=""5.27790""","=""""","=""0.00012""","=""0.007""","="""""
"=""1s2.11p""","=""2P*""","=""3/2""","=""""","=""5.27790""","=""""","=""0.00012""","=""0.0000""","="""""
"=""1s2.11d""","=""2D""","=""3/2""","=""""","=""5.2790""","=""""","=""0.0012""","=""0.001""","="""""
"=""1s2.11d""","=""2D""","=""5/2""","=""""","=""5.2790""","=""""","=""0.0012""","=""0.000""","="""""
"=""1s2.12p""","=""2P*""","=""1/2""","=""""","=""5.296498""","=""""","=""0.000012""","=""0.017""","="""""
"=""1s2.12p""","=""2P*""","=""3/2""","=""""","=""5.296498""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.12d""","=""2D""","=""3/2""","=""""","=""5.2972""","=""""","=""0.0012""","=""0.001""","="""""
"=""1s2.12d""","=""2D""","=""5/2""","=""""","=""5.2972""","=""""","=""0.0012""","=""0.000""","="""""
"=""1s2.13p""","=""2P*""","=""1/2""","=""""","=""5.310605""","=""""","=""0.000012""","=""0.013""","="""""
"=""1s2.13p""","=""2P*""","=""3/2""","=""""","=""5.310605""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.14p""","=""2P*""","=""1/2""","=""""","=""5.321822""","=""""","=""0.000012""","=""0.01122""","="""""
"=""1s2.14p""","=""2P*""","=""3/2""","=""""","=""5.321822""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.15p""","=""2P*""","=""1/2""","=""""","=""5.330764""","=""""","=""0.000012""","=""0.00894""","="""""
"=""1s2.15p""","=""2P*""","=""3/2""","=""""","=""5.330764""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.16p""","=""2P*""","=""1/2""","=""""","=""5.338182""","=""""","=""0.000012""","=""0.00742""","="""""
"=""1s2.16p""","=""2P*""","=""3/2""","=""""","=""5.338182""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.17p""","=""2P*""","=""1/2""","=""""","=""5.344391""","=""""","=""0.000012""","=""0.00621""","="""""
"=""1s2.17p""","=""2P*""","=""3/2""","=""""","=""5.344391""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.18p""","=""2P*""","=""1/2""","=""""","=""5.349541""","=""""","=""0.000012""","=""0.00515""","="""""
"=""1s2.18p""","=""2P*""","=""3/2""","=""""","=""5.349541""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.19p""","=""2P*""","=""1/2""","=""""","=""5.353866""","=""""","=""0.000012""","=""0.00432""","="""""
"=""1s2.19p""","=""2P*""","=""3/2""","=""""","=""5.353866""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.20p""","=""2P*""","=""1/2""","=""""","=""5.357530""","=""""","=""0.000012""","=""0.00366""","="""""
"=""1s2.20p""","=""2P*""","=""3/2""","=""""","=""5.357530""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.21p""","=""2P*""","=""1/2""","=""""","=""5.360725""","=""""","=""0.000012""","=""0.00320""","="""""
"=""1s2.21p""","=""2P*""","=""3/2""","=""""","=""5.360725""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.22p""","=""2P*""","=""1/2""","=""""","=""5.363450""","=""""","=""0.000012""","=""0.00272""","="""""
"=""1s2.22p""","=""2P*""","=""3/2""","=""""","=""5.363450""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.23p""","=""2P*""","=""1/2""","=""""","=""5.365907""","=""""","=""0.000012""","=""0.00246""","="""""
"=""1s2.23p""","=""2P*""","=""3/2""","=""""","=""5.365907""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.24p""","=""2P*""","=""1/2""","=""""","=""5.368024""","=""""","=""0.000012""","=""0.00212""","="""""
"=""1s2.24p""","=""2P*""","=""3/2""","=""""","=""5.368024""","=""""","=""0.000012""","=""0.00000""","="""""
"=""1s2.25p""","=""2P*""","=""1/2""","=""""","=""5.369935""","=""""","=""0.000012""","=""0.00191""","="""""
