1s22s 	 2S 	 1/2 	  0.000000                 	  0.000012     	 L3462 
 	 	 	 	 	 
1s22p 	 2P° 	 1/2 	  1.847818                 	  0.000012     	  
 	 	 3/2 	  1.847860                 	  0.000012     	  
 	 	 	 	 	 
1s23s 	 2S 	 1/2 	  3.373129                 	  0.000012     	  
 	 	 	 	 	 
1s23p 	 2P° 	 1/2 	  3.834258                 	  0.000012     	  
 	 	 3/2 	  3.834258                 	  0.000012     	  
 	 	 	 	 	 
1s23d 	 2D 	 3/2 	  3.878608                 	  0.000012     	  
 	 	 5/2 	  3.878613                 	  0.000012     	  
 	 	 	 	 	 
1s24s 	 2S 	 1/2 	  4.340942                 	  0.000012     	  
 	 	 	 	 	 
1s24p 	 2P° 	 1/2 	  4.521648                 	  0.000012     	  
 	 	 3/2 	  4.521648                 	  0.000012     	  
 	 	 	 	 	 
1s24d 	 2D 	 3/2 	  4.540720                 	  0.000012     	  
 	 	 5/2 	  4.540723                 	  0.000012     	  
 	 	 	 	 	 
1s24f 	 2F° 	 5/2 	  4.54157                  	  0.00012      	  
 	 	 7/2 	  4.54157                  	  0.00012      	  
 	 	 	 	 	 
1s25s 	 2S 	 1/2 	  4.748533                 	  0.000012     	  
 	 	 	 	 	 
1s25p 	 2P° 	 1/2 	  4.837313                 	  0.000012     	  
 	 	 3/2 	  4.837313                 	  0.000012     	  
 	 	 	 	 	 
1s25d 	 2D 	 3/2 	  4.847154                 	  0.000012     	  
 	 	 5/2 	  4.847155                 	  0.000012     	  
 	 	 	 	 	 
1s25f 	 2F° 	 5/2 	  4.84834                  	  0.00012      	  
 	 	 7/2 	  4.84834                  	  0.00012      	  
 	 	 	 	 	 
1s26s 	 2S 	 1/2 	  4.957835                 	  0.000012     	  
 	 	 	 	 	 
1s26p 	 2P° 	 1/2 	  5.007826                 	  0.000012     	  
 	 	 3/2 	  5.007826                 	  0.000012     	  
 	 	 	 	 	 
1s26d 	 2D 	 3/2 	  5.013587                 	  0.000012     	  
 	 	 5/2 	  5.013589                 	  0.000012     	  
 	 	 	 	 	 
1s27s 	 2S 	 1/2 	  5.07937                  	  0.00012      	  
 	 	 	 	 	 
1s27p 	 2P° 	 1/2 	  5.110300                 	  0.000012     	  
 	 	 3/2 	  5.110300                 	  0.000012     	  
 	 	 	 	 	 
1s27d 	 2D 	 3/2 	  5.11391                  	  0.00012      	  
 	 	 5/2 	  5.11391                  	  0.00012      	  
 	 	 	 	 	 
1s28s 	 2S 	 1/2 	  5.15614                  	  0.00012      	  
 	 	 	 	 	 
1s28p 	 2P° 	 1/2 	  5.176542                 	  0.000012     	  
 	 	 3/2 	  5.176542                 	  0.000012     	  
 	 	 	 	 	 
1s28d 	 2D 	 3/2 	  5.17898                  	  0.00012      	  
 	 	 5/2 	  5.17898                  	  0.00012      	  
 	 	 	 	 	 
1s29s 	 2S 	 1/2 	  5.20775                  	  0.00012      	  
 	 	 	 	 	 
1s29p 	 2P° 	 1/2 	  5.222000                 	  0.000012     	  
 	 	 3/2 	  5.222000                 	  0.000012     	  
 	 	 	 	 	 
1s29d 	 2D 	 3/2 	  5.22362                  	  0.00012      	  
 	 	 5/2 	  5.22362                  	  0.00012      	  
 	 	 	 	 	 
1s210s 	 2S 	 1/2 	  5.2443                   	  0.0012       	  
 	 	 	 	 	 
1s210p 	 2P° 	 1/2 	  5.254346                 	  0.000012     	  
 	 	 3/2 	  5.254346                 	  0.000012     	  
 	 	 	 	 	 
1s210d 	 2D 	 3/2 	  5.2556                   	  0.0012       	  
 	 	 5/2 	  5.2556                   	  0.0012       	  
 	 	 	 	 	 
1s211s 	 2S 	 1/2 	  5.2706                   	  0.0012       	  
 	 	 	 	 	 
1s211p 	 2P° 	 1/2 	  5.27790                  	  0.00012      	  
 	 	 3/2 	  5.27790                  	  0.00012      	  
 	 	 	 	 	 
1s211d 	 2D 	 3/2 	  5.2790                   	  0.0012       	  
 	 	 5/2 	  5.2790                   	  0.0012       	  
 	 	 	 	 	 
1s212p 	 2P° 	 1/2 	  5.296498                 	  0.000012     	  
 	 	 3/2 	  5.296498                 	  0.000012     	  
 	 	 	 	 	 
1s212d 	 2D 	 3/2 	  5.2972                   	  0.0012       	  
 	 	 5/2 	  5.2972                   	  0.0012       	  
 	 	 	 	 	 
