Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.000000000""","=""""","=""0""","=""""","=""                                                                                              ""","=""L13237"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""2.102297177""","=""""","=""0.000000005""","=""2.102297177""","=""                                                                                              ""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""2.104429202""","=""""","=""0.000000006""","=""0.002132025""","=""                                                                                              ""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""3.1913531""","=""""","=""0.0000004""","=""1.0869239""","=""                                                                                              ""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""3.61697081""","=""""","=""0.00000025""","=""0.4256177""","=""                                                                                              ""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""3.61697701""","=""""","=""0.00000025""","=""0.0000062""","=""                                                                                              ""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""3.7526285""","=""""","=""0.0000025""","=""0.135651""","=""                                                                                              ""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""3.7533216""","=""""","=""0.0000025""","=""0.000693""","=""                                                                                              ""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""4.11635883""","=""""","=""0.00000025""","=""0.363037""","=""                                                                                              ""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""4.28349647""","=""""","=""0.00000025""","=""0.1671376""","=""                                                                                              ""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""4.28350081""","=""""","=""0.00000025""","=""0.0000043""","=""                                                                                              ""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""4.2882316""","=""""","=""0.0000025""","=""0.004731""","=""                                                                                              ""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""4.2882316""","=""""","=""0.0000025""","=""0.000000""","=""                                                                                              ""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""4.3444534""","=""""","=""0.0000025""","=""0.056222""","=""                                                                                              ""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""4.3447597""","=""""","=""0.0000025""","=""0.000306""","=""                                                                                              ""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","=""""","=""4.50962989""","=""""","=""0.00000025""","=""0.164870""","=""                                                                                              ""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""4.59197201""","=""""","=""0.00000025""","=""0.0823421""","=""                                                                                              ""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""4.59197449""","=""""","=""0.00000025""","=""0.0000025""","=""                                                                                              ""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""4.5945630""","=""""","=""0.0000025""","=""0.002589""","=""                                                                                              ""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","=""""","=""4.5945630""","=""""","=""0.0000025""","=""0.000000""","=""                                                                                              ""","="""""
