2p63s 	 2S 	 1/2 	  0.000000000               	  0            	 L13237 
 	 	 	 	 	 
2p63p 	 2P° 	 1/2 	  2.102297177               	  0.000000005  	  
 	 	 3/2 	  2.104429202               	  0.000000006  	  
 	 	 	 	 	 
2p64s 	 2S 	 1/2 	  3.1913531                 	  0.0000004    	  
 	 	 	 	 	 
2p63d 	 2D 	 5/2 	  3.61697081                	  0.00000025   	  
 	 	 3/2 	  3.61697701                	  0.00000025   	  
 	 	 	 	 	 
2p64p 	 2P° 	 1/2 	  3.7526285                 	  0.0000025    	  
 	 	 3/2 	  3.7533216                 	  0.0000025    	  
 	 	 	 	 	 
2p65s 	 2S 	 1/2 	  4.11635883                	  0.00000025   	  
 	 	 	 	 	 
2p64d 	 2D 	 5/2 	  4.28349647                	  0.00000025   	  
 	 	 3/2 	  4.28350081                	  0.00000025   	  
 	 	 	 	 	 
2p64f 	 2F° 	 7/2 	  4.2882316                 	  0.0000025    	  
 	 	 5/2 	  4.2882316                 	  0.0000025    	  
 	 	 	 	 	 
2p65p 	 2P° 	 1/2 	  4.3444534                 	  0.0000025    	  
 	 	 3/2 	  4.3447597                 	  0.0000025    	  
 	 	 	 	 	 
2p66s 	 2S 	 1/2 	  4.50962989                	  0.00000025   	  
 	 	 	 	 	 
2p65d 	 2D 	 5/2 	  4.59197201                	  0.00000025   	  
 	 	 3/2 	  4.59197449                	  0.00000025   	  
 	 	 	 	 	 
2p65f 	 2F° 	 7/2 	  4.5945630                 	  0.0000025    	  
 	 	 5/2 	  4.5945630                 	  0.0000025    	  
 	 	 	 	 	 
2p65g 	 2G 	 7/2,9/2 	  4.594797                  	  0.000009     	  
 	 	 	 	 	 
2p66p 	 2P° 	 1/2 	  4.6241543                 	  0.0000025    	  
 	 	 3/2 	  4.6243143                 	  0.0000025    	  
 	 	 	 	 	 
2p67s 	 2S 	 1/2 	  4.71289256                	  0.00000025   	  
 	 	 	 	 	 
2p66d 	 2D 	 5/2 	  4.75941304                	  0.00000025   	  
 	 	 3/2 	  4.75941465                	  0.00000025   	  
 	 	 	 	 	 
2p66f 	 2F° 	 7/2 	  4.7609672                 	  0.0000025    	  
 	 	 5/2 	  4.7609672                 	  0.0000025    	  
 	 	 	 	 	 
2p66g 	 2G 	 7/2 	  [4.76110481]               	  0.00000025   	  
 	 	 9/2 	  [4.76110530]               	  0.00000025   	  
 	 	 	 	 	 
2p66h 	 2H° 	 11/2 	  [4.76113543]               	  0.00000025   	  
 	 	 9/2 	  [4.76113617]               	  0.00000025   	  
 	 	 	 	 	 
2p67p 	 2P° 	 1/2 	  4.7783733                 	  0.0000025    	  
 	 	 3/2 	  4.7784663                 	  0.0000025    	  
 	 	 	 	 	 
2p68s 	 2S 	 1/2 	  4.8314795                 	  0.0000025    	  
 	 	 	 	 	 
2p67d 	 2D 	 5/2 	  4.8602959                 	  0.0000025    	  
 	 	 3/2 	  4.8602959                 	  0.0000025    	  
 	 	 	 	 	 
2p67f 	 2F° 	 7/2 	  4.8612940                 	  0.0000025    	  
 	 	 5/2 	  4.8612940                 	  0.0000025    	  
 	 	 	 	 	 
2p67g 	 2G 	 7/2,9/2 	  [4.86138632]               	  0.00000025   	  
 	 	 	 	 	 
2p67h 	 2H° 	 9/2,11/2 	  [4.86140641]               	  0.00000025   	  
 	 	 	 	 	 
2p68p 	 2P° 	 1/2 	  4.8723744                 	  0.0000025    	  
 	 	 3/2 	  4.8724352                 	  0.0000025    	  
 	 	 	 	 	 
2p69s 	 2S 	 1/2 	  4.9066561                 	  0.0000025    	  
 	 	 	 	 	 
2p68d 	 2D 	 5/2 	  4.9257310                 	  0.0000025    	  
 	 	 3/2 	  4.9257310                 	  0.0000025    	  
 	 	 	 	 	 
2p68f 	 2F° 	 7/2 	  4.9264080                 	  0.0000025    	  
 	 	 5/2 	  4.9264080                 	  0.0000025    	  
 	 	 	 	 	 
2p68g 	 2G 	 7/2,9/2 	  [4.92647220]               	  0.00000025   	  
 	 	 	 	 	 
2p68h 	 2H° 	 9/2,11/2 	  [4.92648609]               	  0.00000025   	  
 	 	 	 	 	 
2p69p 	 2P° 	 1/2 	  [4.93388658]               	  0.00000025   	  
 	 	 3/2 	  [4.93392762]               	  0.00000025   	  
 	 	 	 	 	 
2p610s 	 2S 	 1/2 	  4.9572937                 	  0.0000025    	  
 	 	 	 	 	 
2p69d 	 2D 	 5/2 	  4.9705650                 	  0.0000025    	  
 	 	 3/2 	  4.9705650                 	  0.0000025    	  
 	 	 	 	 	 
2p69f 	 2F° 	 7/2 	  4.9710460                 	  0.0000025    	  
 	 	 5/2 	  4.9710460                 	  0.0000025    	  
 	 	 	 	 	 
2p69g 	 2G 	 7/2,9/2 	  [4.97109449]               	  0.00000025   	  
 	 	 	 	 	 
2p69h 	 2H° 	 9/2,11/2 	  [4.97110428]               	  0.00000025   	  
 	 	 	 	 	 
2p610p 	 2P° 	 1/2 	  4.97633022                	  0.00000025   	  
 	 	 3/2 	  4.97635910                	  0.00000025   	  
 	 	 	 	 	 
2p611s 	 2S 	 1/2 	  4.99301675                	  0.00000025   	  
 	 	 	 	 	 
2p610d 	 2D 	 5/2 	  5.00262788                	  0.00000025   	  
 	 	 3/2 	  5.00262826                	  0.00000025   	  
 	 	 	 	 	 
2p610f 	 2F° 	 7/2 	  [5.00298074]               	  0.00000025   	  
 	 	 5/2 	  [5.00298074]               	  0.00000025   	  
 	 	 	 	 	 
2p610g 	 2G 	 7/2,9/2 	  [5.00301223]               	  0.00000025   	  
 	 	 	 	 	 
2p610h 	 2H° 	 9/2,11/2 	  [5.00301943]               	  0.00000025   	  
 	 	 	 	 	 
2p611p 	 2P° 	 1/2 	  5.00684459                	  0.00000025   	  
 	 	 3/2 	  5.00686591                	  0.00000025   	  
 	 	 	 	 	 
