Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.5s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0.0000012""","=""""","=""L9039"""
"=""4p6.5p""","=""2P*""","=""1/2""","=""""","=""1.55959103""","=""""","=""0.00000025""","=""1.5595910""","=""L9039"""
"=""4p6.5p""","=""2P*""","=""3/2""","=""""","=""1.58904906""","=""""","=""0.00000025""","=""0.0294580""","=""L9039"""
"=""4p6.4d""","=""2D""","=""5/2""","=""""","=""2.3997393""","=""""","=""0.0000012""","=""0.8106902""","=""L9039"""
"=""4p6.4d""","=""2D""","=""3/2""","=""""","=""2.3997946""","=""""","=""0.0000012""","=""0.000055""","=""L9039"""
"=""4p6.6s""","=""2S""","=""1/2""","=""""","=""2.4961131""","=""""","=""0.0000012""","=""0.096319""","=""L9039"""
"=""4p6.6p""","=""2P*""","=""1/2""","=""""","=""2.9402953""","=""""","=""0.0000012""","=""0.444182""","=""L9039"""
"=""4p6.6p""","=""2P*""","=""3/2""","=""""","=""2.9499053""","=""""","=""0.0000012""","=""0.009610""","=""L9039"""
"=""4p6.5d""","=""2D""","=""3/2""","=""""","=""3.1864604""","=""""","=""0.0000012""","=""0.236555""","=""L9039"""
"=""4p6.5d""","=""2D""","=""5/2""","=""""","=""3.1868276""","=""""","=""0.0000012""","=""0.000367""","=""L9039"""
"=""4p6.7s""","=""2S""","=""1/2""","=""""","=""3.2622024""","=""""","=""0.0000012""","=""0.075375""","=""L9039"""
"=""4p6.4f""","=""2F*""","=""7/2""","=""""","=""3.3217961""","=""""","=""0.0000012""","=""0.059594""","=""L9039"""
"=""4p6.4f""","=""2F*""","=""5/2""","=""""","=""3.3217993""","=""""","=""0.0000012""","=""0.000003""","=""L9039"""
"=""4p6.7p""","=""2P*""","=""1/2""","=""""","=""3.4511026""","=""""","=""0.0000012""","=""0.129303""","=""L9039"""
"=""4p6.7p""","=""2P*""","=""3/2""","=""""","=""3.4554532""","=""""","=""0.0000012""","=""0.004351""","=""L9039"""
"=""4p6.6d""","=""2D""","=""3/2""","=""""","=""3.5567504""","=""""","=""0.0000012""","=""0.101297""","=""L9039"""
"=""4p6.6d""","=""2D""","=""5/2""","=""""","=""3.5570310""","=""""","=""0.0000012""","=""0.000281""","=""L9039"""
"=""4p6.8s""","=""2S""","=""1/2""","=""""","=""3.6013462""","=""""","=""0.0000012""","=""0.044315""","=""L9039"""
"=""4p6.5f""","=""2F*""","=""7/2""","=""""","=""3.6299806""","=""""","=""0.0000012""","=""0.028634""","=""L9039"""
"=""4p6.5f""","=""2F*""","=""5/2""","=""""","=""3.6299830""","=""""","=""0.0000012""","=""0.000002""","=""L9039"""
"=""4p6.5g""","=""2G""","=""7/2""","=""""","=""3.6322654""","=""""","=""0.0000012""","=""0.002282""","=""L9039"""
"=""4p6.5g""","=""2G""","=""9/2""","=""""","=""3.6322654""","=""""","=""0.0000012""","=""0.000000""","=""L9039"""
"=""4p6.8p""","=""2P*""","=""1/2""","=""""","=""3.6990611""","=""""","=""0.0000012""","=""0.066796""","=""L9039"""
"=""4p6.8p""","=""2P*""","=""3/2""","=""""","=""3.7013982""","=""""","=""0.0000012""","=""0.002337""","=""L9039"""
"=""4p6.7d""","=""2D""","=""3/2""","=""""","=""3.7542555""","=""""","=""0.0000012""","=""0.052857""","=""L9039"""
"=""4p6.7d""","=""2D""","=""5/2""","=""""","=""3.7544424""","=""""","=""0.0000012""","=""0.000187""","=""L9039"""
"=""4p6.9s""","=""2S""","=""1/2""","=""""","=""3.7813979""","=""""","=""0.0000012""","=""0.026956""","=""L9039"""
"=""4p6.6f""","=""2F*""","=""7/2""","=""""","=""3.7973833""","=""""","=""0.0000012""","=""0.015985""","=""L9039"""
"=""4p6.6f""","=""2F*""","=""5/2""","=""""","=""3.7973853""","=""""","=""0.0000012""","=""0.000002""","=""L9039"""
"=""4p6.9p""","=""2P*""","=""1/2""","=""""","=""3.8384156""","=""""","=""0.0000012""","=""0.041030""","=""L9039"""
"=""4p6.9p""","=""2P*""","=""3/2""","=""""","=""3.8398142""","=""""","=""0.0000012""","=""0.001399""","=""L9039"""
"=""4p6.8d""","=""2D""","=""3/2""","=""""","=""3.8709652""","=""""","=""0.0000012""","=""0.031151""","=""L9039"""
"=""4p6.8d""","=""2D""","=""5/2""","=""""","=""3.8710908""","=""""","=""0.0000012""","=""0.000126""","=""L9039"""
"=""4p6.10s""","=""2S""","=""1/2""","=""""","=""3.8884335""","=""""","=""0.0000012""","=""0.017343""","=""L9039"""
"=""4p6.7f""","=""2F*""","=""7/2""","=""""","=""3.8982762""","=""""","=""0.0000012""","=""0.009843""","=""L9039"""
"=""4p6.7f""","=""2F*""","=""5/2""","=""""","=""3.8982777""","=""""","=""0.0000012""","=""0.000001""","=""L9039"""
"=""4p6.10p""","=""2P*""","=""1/2""","=""""","=""3.9245772""","=""""","=""0.0000012""","=""0.026299""","=""L9039"""
"=""4p6.10p""","=""2P*""","=""3/2""","=""""","=""3.9254835""","=""""","=""0.0000012""","=""0.000906""","=""L9039"""
"=""4p6.9d""","=""2D""","=""3/2""","=""""","=""3.9454072""","=""""","=""0.0000012""","=""0.019924""","=""L9039"""
"=""4p6.9d""","=""2D""","=""5/2""","=""""","=""3.9454934""","=""""","=""0.0000012""","=""0.000086""","=""L9039"""
"=""4p6.11s""","=""2S""","=""1/2""","=""""","=""3.9572311""","=""""","=""0.0000012""","=""0.011738""","=""L9039"""
"=""4p6.8f""","=""2F*""","=""7/2""","=""""","=""3.9637272""","=""""","=""0.0000012""","=""0.006496""","=""L9039"""
"=""4p6.8f""","=""2F*""","=""5/2""","=""""","=""3.9637278""","=""""","=""0.0000012""","=""0.000001""","=""L9039"""
"=""4p6.11p""","=""2P*""","=""1/2""","=""""","=""3.9815728""","=""""","=""0.0000012""","=""0.017845""","=""L9039"""
"=""4p6.11p""","=""2P*""","=""3/2""","=""""","=""3.9821890""","=""""","=""0.0000012""","=""0.000616""","=""L9039"""
"=""4p6.10d""","=""2D""","=""3/2""","=""""","=""3.9957144""","=""""","=""0.0000005""","=""0.013525""","=""L9039"""
"=""4p6.10d""","=""2D""","=""5/2""","=""""","=""3.9957761""","=""""","=""0.0000005""","=""0.0000617""","=""L9039"""
"=""4p6.12s""","=""2S""","=""1/2""","=""""","=""4.0040587""","=""""","=""0.0000005""","=""0.0082826""","=""L9039"""
"=""4p6.12p""","=""2P*""","=""1/2""","=""""","=""4.021241""","=""""","=""0.000006""","=""0.017182""","=""L9039"""
"=""4p6.12p""","=""2P*""","=""3/2""","=""""","=""4.021680""","=""""","=""0.000006""","=""0.000439""","=""L9039"""
"=""4p6.13p""","=""2P*""","=""1/2""","=""""","=""4.049948""","=""""","=""0.000006""","=""0.028268""","=""L9039"""
"=""4p6.13p""","=""2P*""","=""3/2""","=""""","=""4.050270""","=""""","=""0.000006""","=""0.000322""","=""L9039"""
"=""4p6.14p""","=""2P*""","=""1/2""","=""""","=""4.071396""","=""""","=""0.000006""","=""0.021126""","=""L9039"""
"=""4p6.14p""","=""2P*""","=""3/2""","=""""","=""4.071644""","=""""","=""0.000006""","=""0.000248""","=""L9039"""
"=""4p6.15p""","=""2P*""","=""1/2""","=""""","=""4.087841""","=""""","=""0.000006""","=""0.016197""","=""L9039"""
"=""4p6.15p""","=""2P*""","=""3/2""","=""""","=""4.088031""","=""""","=""0.000006""","=""0.000190""","=""L9039"""
"=""4p6.16p""","=""2P*""","=""1/2""","=""""","=""4.100727""","=""""","=""0.000006""","=""0.012696""","=""L9039"""
"=""4p6.16p""","=""2P*""","=""3/2""","=""""","=""4.100880""","=""""","=""0.000006""","=""0.000153""","=""L9039"""
"=""4p6.17p""","=""2P*""","=""1/2""","=""""","=""4.111011""","=""""","=""0.000006""","=""0.010131""","=""L9039"""
"=""4p6.17p""","=""2P*""","=""3/2""","=""""","=""4.111135""","=""""","=""0.000006""","=""0.000124""","=""L9039"""
"=""4p6.18p""","=""2P*""","=""1/2""","=""""","=""4.119354""","=""""","=""0.000007""","=""0.008219""","=""L9039"""
"=""4p6.18p""","=""2P*""","=""3/2""","=""""","=""4.119458""","=""""","=""0.000007""","=""0.000104""","=""L9039"""
"=""4p6.19p""","=""2P*""","=""1/2""","=""""","=""4.126210""","=""""","=""0.000007""","=""0.006752""","=""L9039"""
"=""4p6.19p""","=""2P*""","=""3/2""","=""""","=""4.126295""","=""""","=""0.000007""","=""0.000085""","=""L9039"""
"=""4p6.20p""","=""2P*""","=""1/2""","=""""","=""4.131914""","=""""","=""0.000007""","=""0.005619""","=""L9039"""
"=""4p6.20p""","=""2P*""","=""3/2""","=""""","=""4.131984""","=""""","=""0.000007""","=""0.000070""","=""L9039"""
"=""4p6.21p""","=""2P*""","=""1/2""","=""""","=""4.136709""","=""""","=""0.000007""","=""0.004725""","=""L9039"""
"=""4p6.21p""","=""2P*""","=""3/2""","=""""","=""4.136769""","=""""","=""0.000007""","=""0.000060""","=""L9039"""
"=""4p6.22p""","=""2P*""","=""1/2""","=""""","=""4.140782""","=""""","=""0.000007""","=""0.004013""","=""L9039"""
"=""4p6.22p""","=""2P*""","=""3/2""","=""""","=""4.140835""","=""""","=""0.000007""","=""0.000053""","=""L9039"""
"=""4p6.23p""","=""2P*""","=""1/2""","=""""","=""4.144266""","=""""","=""0.000007""","=""0.003431""","=""L9039"""
"=""4p6.23p""","=""2P*""","=""3/2""","=""""","=""4.144314""","=""""","=""0.000007""","=""0.000048""","=""L9039"""
"=""4p6.24p""","=""2P*""","=""1/2""","=""""","=""4.147275""","=""""","=""0.000007""","=""0.002961""","=""L9039"""
"=""4p6.24p""","=""2P*""","=""3/2""","=""""","=""4.147319""","=""""","=""0.000007""","=""0.000044""","=""L9039"""
"=""4p6.25p""","=""2P*""","=""1/2""","=""""","=""4.149889""","=""""","=""0.000007""","=""0.002570""","=""L9039"""
"=""4p6.25p""","=""2P*""","=""3/2""","=""""","=""4.149928""","=""""","=""0.000007""","=""0.000039""","=""L9039"""
"=""4p6.26p""","=""2P*""","=""1/2""","=""""","=""4.152173""","=""""","=""0.000007""","=""0.002245""","=""L9039"""
"=""4p6.26p""","=""2P*""","=""3/2""","=""""","=""4.152205""","=""""","=""0.000007""","=""0.000032""","=""L9039"""
"=""4p6.27p""","=""2P*""","=""1/2""","=""""","=""4.154205""","=""""","=""0.000007""","=""0.002000""","=""L9039"""
"=""4p6.27p""","=""2P*""","=""3/2""","=""""","=""4.154205""","=""""","=""0.000007""","=""0.000000""","=""L9039"""
