obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""199.995""","=""0.005""","=""199.99536""","=""0.00020""","=""35""","=""1.3e+09""","=""8.4e-02""","=""-0.12""",D,"=""1.03000806""","=""7.227354""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d4.4s.5p""","=""r 5D*""","=""4""",,"=""T3196""","=""L808""",
"=""209.500""","=""0.009""","=""209.4928""","=""0.0007""","=""12h""","=""1.1e+07""","=""1.0e-03""","=""-2.15""",C,"=""0.00000000""","=""5.916424""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d5.(6S).6p""","=""w 7P*""","=""4""",,"=""T3196""","=""L808""",
"=""209.540""","=""0.009""","=""209.5403""","=""0.0006""","=""10h""","=""7.7e+06""","=""7.2e-04""","=""-2.29""",C,"=""0.00000000""","=""5.915082""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d5.(6S).6p""","=""w 7P*""","=""3""",,"=""T3196""","=""L808""",
"=""209.583""","=""0.009""","=""209.583""","=""0.009""","=""8h""","=""5.5e+06""","=""5.2e-04""","=""-2.44""",C,"=""0.00000000""","=""5.91387""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d5.(6S).6p""","=""w 7P*""","=""2""",,"=""T3196""","=""L808""",
"=""235.430""","=""0.005""","=""235.430952""","=""0.000008""","=""15""","=""7.3e+07""","=""8.7e-03""","=""-1.22""",D,"=""1.00367492""","=""6.26832996""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d5.(4D).4p""","=""u 5D*""","=""4""",,"=""T3196""","=""L808""",
"=""236.473""","=""0.009""","=""236.4731""","=""0.0013""","=""150r""","=""4.8e+07""","=""5.7e-03""","=""-1.40""",C,"=""0.00000000""","=""5.241456""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d5.(6S).5p""","=""x 7P*""","=""4""",,"=""T3196""","=""L808""",
"=""236.59188""","=""0.00004""","=""236.59188""","=""0.00004""","=""8""","=""3.8e+07""","=""4.6e-03""","=""-1.49""",C,"=""0.00000000""","=""5.2388241""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d5.(6S).5p""","=""x 7P*""","=""3""",,"=""T3196""","=""L14866""",
"=""236.68156""","=""0.00004""","=""236.68156""","=""0.00004""","=""8""","=""3.4e+07""","=""4.1e-03""","=""-1.54""",C,"=""0.00000000""","=""5.2368392""","=""3d5.(6S).4s""","=""a 7S""","=""3""","=""3d5.(6S).5p""","=""x 7P*""","=""2""",,"=""T3196""","=""L14866""",
"=""237.506""","=""0.005""","=""237.505779""","=""0.000017""","=""5""","=""5.1e+07""","=""8.6e-03""","=""-1.36""",E,"=""0.98287742""","=""6.2015447""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(4D).4p""","=""s 5F*""","=""1""",,"=""T3196""","=""L808""",
"=""238.33057""","=""0.00005""","=""238.330662""","=""0.000014""","=""4""","=""4.5e+08""","=""4.3e-02""","=""-0.42""",D,"=""1.03000806""","=""6.2306145""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d5.(4D).4p""","=""s 5F*""","=""5""",,"=""T3196""","=""L14866""",
"=""238.572""","=""0.009""","=""238.5729""","=""0.0009""","=""7wh""","=""1.5e+08""","=""1.5e-02""","=""-0.88""",D,"=""1.03000806""","=""6.225333""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d5.(4D).4p""","=""s 5F*""","=""4""",,"=""T3196""","=""L808""",
"=""238.921""","=""0.009""","=""238.921819""","=""0.000009""","=""3w""","=""1.2e+08""","=""3.3e-02""","=""-1.01""",D,"=""0.96841324""","=""6.15615299""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d5.(4D).4p""","=""x 3F*""","=""2""",,"=""T3196""","=""L808""",
"=""240.86228""","=""0.00013""","=""240.862412""","=""0.000015""","=""8""","=""4.7e+08""","=""4.5e-02""","=""-0.39""",D,"=""1.03000806""","=""6.1759542""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d5.(4D).4p""","=""t 5P*""","=""3""",,"=""T3196""","=""L14866""",
"=""240.872""","=""0.004""","=""240.875087""","=""0.000018""","=""35r""","=""1.4e+08""","=""1.8e-02""","=""-0.90""",D,"=""1.00367492""","=""6.1493503""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d4.(3F1).4s.4p.(3P*)""","=""1D*""","=""2""",,"=""T3196""","=""L808""",
"=""247.91334""","=""0.00004""","=""247.913369""","=""0.000019""","=""8""","=""6.9e+07""","=""1.3e-02""","=""-1.20""",D,"=""0.98287742""","=""5.9824772""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(3F1).4s.4p.(3P*)""","=""3D*""","=""3""",,"=""T3196""","=""L14866""",
"=""249.25696""","=""0.00002""","=""249.256975""","=""0.000008""","=""36""","=""2.2e+08""","=""7.0e-02""","=""-0.68""",C,"=""0.96841324""","=""5.94106486""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d5.(4G).4p""","=""u 5F*""","=""2""",,"=""T3196""","=""L14866""",
"=""249.50784""","=""0.00003""","=""249.507847""","=""0.000014""","=""12""","=""8.1e+07""","=""2.5e-02""","=""-1.12""",C,"=""0.96841324""","=""5.9360654""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d5.(4G).4p""","=""u 5F*""","=""1""",,"=""T3196""","=""L14866""",
"=""249.63058""","=""0.00002""","=""249.630633""","=""0.000007""","=""55""","=""3.9e+08""","=""7.3e-02""","=""-0.44""",C,"=""0.98287742""","=""5.94808628""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(4G).4p""","=""u 5F*""","=""3""",,"=""T3196""","=""L14866""",
"=""249.98414""","=""0.00003""","=""249.984166""","=""0.000008""","=""12""","=""8.0e+07""","=""1.5e-02""","=""-1.12""",E,"=""0.98287742""","=""5.94106486""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(4G).4p""","=""u 5F*""","=""2""",,"=""T3196""","=""L14866""",
"=""250.25291""","=""0.00002""","=""250.252921""","=""0.000012""","=""56""","=""2.0e+08""","=""2.7e-02""","=""-0.73""",D,"=""1.00367492""","=""5.95653797""","=""3d4.4s2""","=""a 5D""","=""3""","=""""","=""*""","=""4""",,"=""T3196""","=""L14866""",
"=""250.43063""","=""0.00002""","=""250.430631""","=""0.000008""","=""68""","=""4.0e+08""","=""5.4e-02""","=""-0.42""",C,"=""1.00367492""","=""5.95302356""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d5.(4G).4p""","=""u 5F*""","=""4""",,"=""T3196""","=""L14866""",
"=""250.81100""","=""0.00002""","=""250.810991""","=""0.000008""","=""25""","=""1.0e+08""","=""2.0e-02""","=""-1.00""",D,"=""0.98287742""","=""5.92472080""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(4P).4p""","=""v 5D*""","=""2""",,"=""T3196""","=""L14866""",
"=""250.89803""","=""0.00002""","=""250.898025""","=""0.000010""","=""23""","=""1.1e+08""","=""2.2e-02""","=""-0.97""",C,"=""0.98287742""","=""5.92300663""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d5.(4P).4p""","=""v 5D*""","=""1""",,"=""T3196""","=""L14866""",
"=""251.36209""","=""0.00003""","=""251.362067""","=""0.000009""","=""12""","=""9.9e+07""","=""1.3e-02""","=""-1.03""",C,"=""1.00367492""","=""5.93468472""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d5.(4P).4p""","=""v 5D*""","=""4""",,"=""T3196""","=""L14866""",
