obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""193.45350""","=""0.00001""","=""193.453495""","=""0.000004""","=""309""","=""1.8e+08""","=""1.1e-02""","=""-1.00""",C+,"=""0.0000000""","=""6.40899243""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""3""",,"=""T2227""","=""L11631""",
"=""193.72683""","=""0.00001""","=""193.726831""","=""0.000004""","=""240""","=""1.5e+08""","=""9.5e-03""","=""-1.07""",C+,"=""0.0000000""","=""6.39994976""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""3""",,"=""T2227""","=""L11631""",
"=""194.06603""","=""0.00001""","=""194.066039""","=""0.000005""","=""191""","=""1.3e+08""","=""1.0e-02""","=""-1.14""",D+,"=""0.05156912""","=""6.44033241""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""2""",,"=""T2227""","=""L11631""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""213.20171""","=""0.00001""","=""213.201699""","=""0.000006""","=""510""","=""6.8e+07""","=""5.2e-03""","=""-1.33""",C+,"=""0.0000000""","=""5.81351269""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""",,"=""T2227""","=""L11631""",
"=""213.85924""","=""0.00001""","=""213.859231""","=""0.000006""","=""115""","=""2.0e+07""","=""1.5e-03""","=""-1.87""",D+,"=""0.0000000""","=""5.79564049""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",,"=""T2227""","=""L11631""",
"=""214.51895""","=""0.00001""","=""214.518938""","=""0.000007""","=""275""","=""4.0e+07""","=""3.9e-03""","=""-1.56""",C,"=""0.05156912""","=""5.82938837""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",,"=""T2227""","=""L11631""",
"=""215.30065""","=""0.00001""","=""215.300638""","=""0.000007""","=""219""","=""3.4e+07""","=""4.8e-03""","=""-1.62""",C,"=""0.08728574""","=""5.84412959""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",,"=""T2227""","=""L11631""",
"=""216.15790""","=""0.00001""","=""216.157900""","=""0.000007""","=""200""","=""2.5e+07""","=""5.8e-03""","=""-1.76""",D+,"=""0.11011433""","=""5.84412959""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",,"=""T2227""","=""L11631""",
"=""216.67732""","=""0.00004""","=""216.677326""","=""0.000006""","=""3240""","=""1.9e+09""","=""1.5e-01""","=""0.13""",D+,"=""0.0000000""","=""5.72027099""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4P).4p""","=""w 5P*""","=""3""",,"=""T2227""","=""L11631""",
"=""217.12970""","=""0.00001""","=""217.129691""","=""0.000007""","=""245""","=""3.6e+07""","=""5.0e-03""","=""-1.60""",D+,"=""0.08728574""","=""5.79564049""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",,"=""T2227""","=""L11631""",
"=""217.32136""","=""0.00001""","=""217.321355""","=""0.000007""","=""123""","=""4.2e+07""","=""9.8e-03""","=""-1.53""",D+,"=""0.11011433""","=""5.81343520""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,"=""T2227""","=""L11631""",
"=""217.68401""","=""0.00001""","=""217.684010""","=""0.000007""","=""174""","=""3.0e+07""","=""2.2e-02""","=""-1.66""",C+,"=""0.12126572""","=""5.81508605""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""",,"=""T2227""","=""L11631""",
"=""219.12042""","=""0.00001""","=""219.120418""","=""0.000007""","=""162""","=""2.2e+07""","=""1.6e-02""","=""-1.80""",C,"=""0.12126572""","=""5.77776507""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 3S*""","=""1""",,"=""T2227""","=""L11631""",
"=""219.18389""","=""0.00001""","=""219.183908""","=""0.000007""","=""1550""","=""6.0e+08""","=""8.3e-02""","=""-0.38""",C+,"=""0.08728574""","=""5.74214676""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""w 5P*""","=""2""",,"=""T2227""","=""L11631""",
"=""219.60418""","=""0.00001""","=""219.604199""","=""0.000011""","=""910""","=""3.6e+08""","=""8.6e-02""","=""-0.59""",C+,"=""0.11011433""","=""5.75415389""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 5P*""","=""1""",,"=""T2227""","=""L11631""",
"=""220.03898""","=""0.00001""","=""220.038993""","=""0.000011""","=""331""","=""2.7e+08""","=""1.9e-01""","=""-0.71""",C,"=""0.12126572""","=""5.75415389""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d7.(4P).4p""","=""w 5P*""","=""1""",,"=""T2227""","=""L11631""",
"=""220.07241""","=""0.00001""","=""220.072429""","=""0.000007""","=""363""","=""1.4e+08""","=""3.4e-02""","=""-0.99""",C,"=""0.11011433""","=""5.74214676""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 5P*""","=""2""",,"=""T2227""","=""L11631""",
"=""222.81715""","=""0.00001""","=""222.817144""","=""0.000008""","=""102""","=""1.0e+07""","=""1.1e-03""","=""-2.11""",D+,"=""0.05156912""","=""5.61423177""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 3D*""","=""2""",,"=""T2227""","=""L11631""",
"=""225.07902""","=""0.00002""","=""225.079023""","=""0.000006""","=""468""","=""1.11e+07""","=""9.35e-04""","=""-2.075""",C+,"=""0.0000000""","=""5.50676735""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""4""",,"=""T5720""","=""L11631""",
"=""225.92825""","=""0.00004""","=""225.928244""","=""0.000008""","=""56""","=""6.5e+06""","=""7.0e-04""","=""-2.31""",C,"=""0.05156912""","=""5.53763954""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""2""",,"=""T2227""","=""L11631""",
"=""225.95101""","=""0.00002""","=""225.951006""","=""0.000011""","=""2090""","=""6.23e+07""","=""5.29e-03""","=""-1.322""",B+,"=""0.0000000""","=""5.48551782""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""5""",,"=""T5720""","=""L11631""",
"=""226.50541""","=""0.00002""","=""226.505412""","=""0.000012""","=""650""","=""1.00e+07""","=""1.10e-03""","=""-2.114""",C,"=""0.05156912""","=""5.52366156""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""3""",,"=""T5720""","=""L11631""",
"=""226.70845""","=""0.00002""","=""226.708447""","=""0.000008""","=""1070""","=""2.28e+07""","=""2.52e-03""","=""-1.754""",B,"=""0.05156912""","=""5.51876133""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4P).4p""","=""y 5S*""","=""2""",,"=""T5720""","=""L11631""",
"=""227.20694""","=""0.00018""","=""227.206942""","=""0.000008""","=""1950bl""","=""2.63e+07""","=""2.90e-03""","=""-1.692""",B+,"=""0.05156912""","=""5.50676735""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""4""",,"=""T5720""","=""L11631""",
"=""227.51914""","=""0.00002""","=""227.519159""","=""0.000012""","=""219""","=""6.19e+06""","=""1.60e-03""","=""-2.318""",D+,"=""0.11011433""","=""5.55782726""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""0""",,"=""T5720""","=""L11631""",
"=""227.60257""","=""0.00002""","=""227.602564""","=""0.000006""","=""2450""","=""8.75e+07""","=""7.55e-03""","=""-1.168""",D+,"=""0.0000000""","=""5.44571679""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""T5720""","=""L11631""",
"=""227.99370""","=""0.00002""","=""227.993675""","=""0.000012""","=""363""","=""1.32e+07""","=""2.05e-03""","=""-1.989""",B+,"=""0.08728574""","=""5.52366156""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""3""",,"=""T5720""","=""L11631""",
"=""228.33040""","=""0.00002""","=""228.330395""","=""0.000008""","=""269""","=""7.77e+06""","=""6.07e-03""","=""-2.217""",B+,"=""0.12126572""","=""5.54962521""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""1""",,"=""T5720""","=""L11631""",
"=""228.36551""","=""0.00002""","=""228.365496""","=""0.000008""","=""457""","=""7.65e+06""","=""1.99e-03""","=""-2.223""",C,"=""0.11011433""","=""5.53763954""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""2""",,"=""T5720""","=""L11631""",
"=""228.40855""","=""0.00002""","=""228.408535""","=""0.000008""","=""2240""","=""6.45e+07""","=""7.21e-03""","=""-1.297""",C,"=""0.05156912""","=""5.47807170""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T5720""","=""L11631""",
"=""228.72495""","=""0.00002""","=""228.724949""","=""0.000008""","=""2450""","=""6.69e+07""","=""1.05e-02""","=""-1.280""",B+,"=""0.08728574""","=""5.50628207""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""",,"=""T5720""","=""L11631""",
"=""229.25246""","=""0.00002""","=""229.252458""","=""0.000008""","=""2400""","=""2.66e+07""","=""3.01e-03""","=""-1.677""",B,"=""0.05156912""","=""5.45809748""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""4""",,"=""T5720""","=""L11631""",
"=""229.38480""","=""0.00002""","=""229.384741""","=""0.000012""","=""427""","=""5.45e+06""","=""8.59e-04""","=""-2.367""",C+,"=""0.08728574""","=""5.49069652""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",,"=""T5720""","=""L11631""",
"=""229.44079""","=""0.00002""","=""229.440788""","=""0.000008""","=""1380""","=""3.61e+07""","=""9.50e-03""","=""-1.545""",B,"=""0.11011433""","=""5.51220530""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""0""",,"=""T5720""","=""L11631""",
"=""229.69267""","=""0.00002""","=""229.692661""","=""0.000008""","=""389""","=""1.21e+07""","=""3.20e-03""","=""-2.018""",D+,"=""0.11011433""","=""5.50628207""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""",,"=""T5720""","=""L11631""",
"=""229.77870""","=""0.00002""","=""229.778687""","=""0.000008""","=""3390""","=""1.01e+08""","=""1.14e-02""","=""-1.098""",D+,"=""0.05156912""","=""5.44571679""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""T5720""","=""L11631""",
"=""229.81688""","=""0.00002""","=""229.816882""","=""0.000006""","=""7900""","=""2.78e+08""","=""2.45e-02""","=""-0.657""",D+,"=""0.0000000""","=""5.39325126""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""",,"=""T5720""","=""L11631""",
"=""229.86602""","=""0.00002""","=""229.866004""","=""0.000012""","=""257""","=""4.77e+06""","=""1.26e-03""","=""-2.423""",C,"=""0.11011433""","=""5.50221316""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""1""",,"=""T5720""","=""L11631""",
"=""229.92200""","=""0.00002""","=""229.921991""","=""0.000008""","=""1260""","=""3.52e+07""","=""5.57e-03""","=""-1.555""",C,"=""0.08728574""","=""5.47807170""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T5720""","=""L11631""",
"=""230.01417""","=""0.00002""","=""230.014164""","=""0.000008""","=""3390""","=""3.49e+07""","=""5.55e-03""","=""-1.557""",B,"=""0.08728574""","=""5.47591165""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""3""",,"=""T5720""","=""L11631""",
"=""230.16837""","=""0.00002""","=""230.168355""","=""0.000008""","=""780""","=""2.60e+07""","=""2.07e-02""","=""-1.684""",B+,"=""0.12126572""","=""5.50628207""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""1""",,"=""T5720""","=""L11631""",
"=""230.34242""","=""0.00002""","=""230.342417""","=""0.000012""","=""1350""","=""2.20e+07""","=""1.75e-02""","=""-1.757""",C+,"=""0.12126572""","=""5.50221316""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""1""",,"=""T5720""","=""L11631""",
"=""230.35805""","=""0.00002""","=""230.358055""","=""0.000012""","=""2190""","=""2.42e+07""","=""6.41e-03""","=""-1.716""",C+,"=""0.11011433""","=""5.49069652""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3F2).4s.4p.(3P*)""","=""w 5F*""","=""2""",,"=""T5720""","=""L11631""",
"=""230.89988""","=""0.00002""","=""230.899878""","=""0.000008""","=""1950""","=""5.10e+07""","=""1.36e-02""","=""-1.390""",C,"=""0.11011433""","=""5.47807170""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""2""",,"=""T5720""","=""L11631""",
"=""231.31039""","=""0.00002""","=""231.310413""","=""0.000008""","=""2340""","=""8.26e+07""","=""1.32e-02""","=""-1.179""",D+,"=""0.08728574""","=""5.44571679""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""",,"=""T5720""","=""L11631""",
"=""232.03576""","=""0.00002""","=""232.035752""","=""0.000008""","=""3090""","=""1.27e+08""","=""1.46e-02""","=""-0.990""",C,"=""0.05156912""","=""5.39325126""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""4""",,"=""T5720""","=""L11631""",
"=""235.0413""","=""0.0003""","=""235.041045""","=""0.000006""","=""6""","=""1.13e+06""","=""1.04e-04""","=""-3.030""",D,"=""0.0000000""","=""5.27338780""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""",,"=""T5720""","=""L11631c80""",
"=""235.59090""","=""0.00002""","=""235.590902""","=""0.000008""","=""479""","=""3.62e+06""","=""6.03e-04""","=""-2.521""",C,"=""0.08728574""","=""5.34836675""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""",,"=""T5720""","=""L11631""",
"=""236.94561""","=""0.00002""","=""236.945612""","=""0.000013""","=""1050""","=""7.59e+06""","=""2.13e-03""","=""-2.195""",B,"=""0.11011433""","=""5.34111814""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",,"=""T5720""","=""L11631""",
"=""237.14303""","=""0.00002""","=""237.143028""","=""0.000013""","=""1550""","=""1.34e+07""","=""2.25e-03""","=""-1.949""",C+,"=""0.08728574""","=""5.31393522""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""",,"=""T5720""","=""L11631""",
"=""237.36244""","=""0.00002""","=""237.362430""","=""0.000008""","=""5000""","=""4.57e+07""","=""5.52e-03""","=""-1.413""",B,"=""0.05156912""","=""5.27338780""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""",,"=""T5720""","=""L11631""",
"=""237.45184""","=""0.00002""","=""237.451850""","=""0.000013""","=""1320""","=""9.42e+06""","=""7.98e-03""","=""-2.098""",B,"=""0.12126572""","=""5.34111814""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""",,"=""T5720""","=""L11631""",
"=""238.18361""","=""0.00002""","=""238.183431""","=""0.000013""","=""2690""","=""2.17e+07""","=""6.15e-03""","=""-1.734""",C+,"=""0.11011433""","=""5.31393522""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""",,"=""T5720""","=""L11631""",
"=""238.99727""","=""0.00002""","=""238.997273""","=""0.000008""","=""2750""","=""3.13e+07""","=""5.36e-03""","=""-1.572""",B,"=""0.08728574""","=""5.27338780""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""",,"=""T5720""","=""L11631""",
"=""242.03955""","=""0.00005""","=""242.039567""","=""0.000009""","=""112""","=""1.16e+06""","=""9.22e-05""","=""-2.994""",C,"=""0.85899575""","=""5.97991659""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""5""",,"=""T5720""","=""L11631""",
"=""243.81824""","=""0.00002""","=""243.818221""","=""0.000009""","=""710""","=""6.38e+07""","=""5.17e-03""","=""-1.245""",B,"=""0.85899575""","=""5.94256226""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""v 5F*""","=""4""",,"=""T5720""","=""L11631""",
"=""243.97448""","=""0.00002""","=""243.974488""","=""0.000025""","=""1740""","=""4.50e+09""","=""3.09e-01""","=""0.604""",C+,"=""2.40407444""","=""7.4843851""","=""3d6.4s2""","=""a 3H""","=""6""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""6""",,"=""T5720""","=""L11631""",
"=""244.25683""","=""0.00002""","=""244.256819""","=""0.000025""","=""437""","=""3.43e+09""","=""2.79e-01""","=""0.487""",B,"=""2.43269470""","=""7.5071336""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""5""",,"=""T5720""","=""L11631""",
"=""244.38716""","=""0.00002""","=""244.387166""","=""0.000009""","=""1580""","=""6.48e+07""","=""5.28e-03""","=""-1.236""",B+,"=""0.85899575""","=""5.93072834""","=""3d7.(4F).4s""","=""a 5F""","=""5""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""5""",,"=""T5720""","=""L11631""",
