obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"308.6287"	"0.0005"	"308.6287"	""	"3.20e+04"	"2.29e-05"	"-4.34"		"0.00000000"	"4.016095"	"7s"	"2S"	"1/2"	"20p"	"2P*"	"3/2"		"T6898"	"L12264"	
"308.6843"	"0.0005"	"308.6843"	""	"1.60e+04"	"1.14e-05"	"-4.64"		"0.00000000"	"4.015371"	"7s"	"2S"	"1/2"	"20p"	"2P*"	"1/2"		"T6898"	"L12264"	
"309.2514"	"0.0005"	"309.2514"	""	"4.00e+04"	"2.87e-05"	"-4.24"		"0.00000000"	"4.008009"	"7s"	"2S"	"1/2"	"19p"	"2P*"	"3/2"		"T6898"	"L12264"	
"309.3197"	"0.0005"	"309.3197"	""	"1.96e+04"	"1.41e-05"	"-4.55"		"0.00000000"	"4.007123"	"7s"	"2S"	"1/2"	"19p"	"2P*"	"1/2"		"T6898"	"L12264"	
"310.0211"	"0.0005"	"310.0211"	""	"4.92e+04"	"3.55e-05"	"-4.15"		"0.00000000"	"3.998058"	"7s"	"2S"	"1/2"	"18p"	"2P*"	"3/2"		"T6898"	"L12264"	
"310.1063"	"0.0005"	"310.1063"	""	"2.46e+04"	"1.77e-05"	"-4.45"		"0.00000000"	"3.996959"	"7s"	"2S"	"1/2"	"18p"	"2P*"	"1/2"		"T6898"	"L12264"	
"310.9885"	"0.0005"	"310.9885"	""	"6.28e+04"	"4.56e-05"	"-4.04"		"0.00000000"	"3.985621"	"7s"	"2S"	"1/2"	"17p"	"2P*"	"3/2"		"T6898"	"L12264"	
"311.0966"	"0.0005"	"311.0966"	""	"3.14e+04"	"2.28e-05"	"-4.34"		"0.00000000"	"3.984236"	"7s"	"2S"	"1/2"	"17p"	"2P*"	"1/2"		"T6898"	"L12264"	
"312.2284"	"0.0005"	"312.2284"	""	"8.40e+04"	"6.14e-05"	"-3.91"		"0.00000000"	"3.969794"	"7s"	"2S"	"1/2"	"16p"	"2P*"	"3/2"		"T6898"	"L12264"	
"312.3684"	"0.0005"	"312.3684"	""	"4.22e+04"	"3.09e-05"	"-4.21"		"0.00000000"	"3.968015"	"7s"	"2S"	"1/2"	"16p"	"2P*"	"1/2"		"T6898"	"L12264"	
"313.8547"	"0.0005"	"313.8547"	""	"1.12e+05"	"8.30e-05"	"-3.78"		"0.00000000"	"3.949225"	"7s"	"2S"	"1/2"	"15p"	"2P*"	"3/2"		"T6898"	"L12264"	
"314.0409"	"0.0005"	"314.0409"	""	"5.62e+04"	"4.16e-05"	"-4.08"		"0.00000000"	"3.946883"	"7s"	"2S"	"1/2"	"15p"	"2P*"	"1/2"		"T6898"	"L12264"	
"316.0492"	"0.0005"	"316.0492"	""	"1.60e+05"	"1.20e-04"	"-3.62"		"0.00000000"	"3.921805"	"7s"	"2S"	"1/2"	"14p"	"2P*"	"3/2"		"T6898"	"L12264"	
"316.3046"	"0.0005"	"316.3046"	""	"7.82e+04"	"5.87e-05"	"-3.93"		"0.00000000"	"3.918638"	"7s"	"2S"	"1/2"	"14p"	"2P*"	"1/2"		"T6898"	"L12264"	
"319.1165"	"0.0005"	"319.1165"	""	"2.32e+05"	"1.78e-04"	"-3.45"		"0.00000000"	"3.884110"	"7s"	"2S"	"1/2"	"13p"	"2P*"	"3/2"		"T6898"	"L12264"	
"319.4810"	"0.0005"	"319.4810"	""	"1.16e+05"	"8.90e-05"	"-3.75"		"0.00000000"	"3.879679"	"7s"	"2S"	"1/2"	"13p"	"2P*"	"1/2"		"T6898"	"L12264"	
"323.6029"	"0.0005"	"323.6029"	""	"3.66e+05"	"2.88e-04"	"-3.24"		"0.00000000"	"3.830264"	"7s"	"2S"	"1/2"	"12p"	"2P*"	"3/2"		"T6898"	"L12264"	
"324.1504"	"0.0005"	"324.1504"	""	"1.83e+05"	"1.44e-04"	"-3.54"		"0.00000000"	"3.823794"	"7s"	"2S"	"1/2"	"12p"	"2P*"	"1/2"		"T6898"	"L12264"	
"330.5752"	"0.0005"	"330.5752"	""	"6.24e+05"	"5.11e-04"	"-2.99"		"0.00000000"	"3.749481"	"7s"	"2S"	"1/2"	"11p"	"2P*"	"3/2"		"T6898"	"L12264"	
