obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""292.75309""","=""0.00003""","=""""","=""3.26e+03""","=""2.10e-06""","=""-5.38""",C+,"=""0.00000000""","=""4.2338727""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.13p""","=""2P*""","=""3/2""",,"=""T5436n,extrap""","=""""",
"=""""","=""292.75701""","=""0.00003""","=""""","=""9.38e+02""","=""6.04e-07""","=""-5.92""",C+,"=""0.00000000""","=""4.2338159""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.13p""","=""2P*""","=""1/2""",,"=""T5436n,extrap""","=""""",
"=""""","=""294.26696""","=""0.00003""","=""""","=""4.52e+03""","=""2.93e-06""","=""-5.23""",C+,"=""0.00000000""","=""4.2120922""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T5436n,extrap""","=""""",
"=""""","=""294.27223""","=""0.00003""","=""""","=""1.36e+03""","=""8.9e-07""","=""-5.75""",C+,"=""0.00000000""","=""4.2120168""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.12p""","=""2P*""","=""1/2""",,"=""T5436n,extrap""","=""""",
"=""""","=""296.32104""","=""0.00003""","=""""","=""6.92e+03""","=""4.55e-06""","=""-5.04""",C+,"=""0.00000000""","=""4.1828956""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T5436n,extrap""","=""""",
"=""""","=""296.32833""","=""0.00003""","=""""","=""2.20e+03""","=""1.45e-06""","=""-5.54""",C+,"=""0.00000000""","=""4.1827927""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.11p""","=""2P*""","=""1/2""",,"=""T5436n,extrap""","=""""",
"=""299.2108""","=""299.21179""","=""0.00003""","=""a""","=""1.26e+04""","=""8.50e-06""","=""-4.77""",C+,"=""0.00000000""","=""4.1424855""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T5436n,extrap""","=""L3287""",
"=""299.2215""","=""299.22225""","=""0.00003""","=""a""","=""4.24e+03""","=""2.85e-06""","=""-5.24""",C+,"=""0.00000000""","=""4.1423407""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.10p""","=""2P*""","=""1/2""",,"=""T5436n,extrap""","=""L3287""",
"=""303.4751""","=""303.47619""","=""0.00003""","=""a""","=""2.70e+04""","=""1.86e-05""","=""-4.43""",B,"=""0.00000000""","=""4.0842783""","=""3p6.4s""","=""2S""","=""1/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T5436n""","=""L3287""",
