obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""233.394""","=""233.3937""","=""0.0008""","=""*""","=""4.36e+05""","=""1.78e-04""","=""-3.448""",B',"=""0.000000""","=""5.310605""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.13p""","=""2P*""","=""3/2""",,"=""T117""","=""L7397""",
"=""233.394""","=""233.3937""","=""0.0008""","=""*""","=""2.18e+05""","=""8.91e-05""","=""-3.749""",B',"=""0.000000""","=""5.310605""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.13p""","=""2P*""","=""1/2""",,"=""T117""","=""L7397""",
"=""234.015""","=""234.0154""","=""0.0008""","=""*""","=""5.36e+05""","=""2.20e-04""","=""-3.356""",B',"=""0.000000""","=""5.296498""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.12p""","=""2P*""","=""3/2""",,"=""T117""","=""L7397""",
"=""234.015""","=""234.0154""","=""0.0008""","=""*""","=""2.68e+05""","=""1.10e-04""","=""-3.657""",B',"=""0.000000""","=""5.296498""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.12p""","=""2P*""","=""1/2""",,"=""T117""","=""L7397""",
"=""234.822""","=""234.840""","=""0.006""","=""*""","=""6.60e+05""","=""2.73e-04""","=""-3.263""",B',"=""0.000000""","=""5.27790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.11p""","=""2P*""","=""3/2""",,"=""T117""","=""L7397""",
"=""234.822""","=""234.840""","=""0.006""","=""*""","=""3.30e+05""","=""1.37e-04""","=""-3.564""",B',"=""0.000000""","=""5.27790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.11p""","=""2P*""","=""1/2""",,"=""T117""","=""L7397""",
"=""235.893""","=""235.8929""","=""0.0008""","=""*""","=""8.36e+05""","=""3.49e-04""","=""-3.156""",B',"=""0.000000""","=""5.254346""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""3/2""",,"=""T117""","=""L7397""",
"=""235.893""","=""235.8929""","=""0.0008""","=""*""","=""4.18e+05""","=""1.74e-04""","=""-3.457""",B',"=""0.000000""","=""5.254346""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""1/2""",,"=""T117""","=""L7397""",
"=""237.354""","=""237.3542""","=""0.0008""","=""*""","=""7.672e+05""","=""3.241e-04""","=""-3.1883""",AA,"=""0.000000""","=""5.222000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",,"=""T6835""","=""L7397""",
"=""237.354""","=""237.3542""","=""0.0008""","=""*""","=""3.834e+05""","=""1.620e-04""","=""-3.4894""",AA,"=""0.000000""","=""5.222000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",,"=""T6835""","=""L7397""",
"=""239.439""","=""239.4387""","=""0.0008""","=""1*""","=""1.066e+06""","=""4.582e-04""","=""-3.0379""",AA,"=""0.000000""","=""5.176542""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T6835""","=""L7397""",
"=""239.439""","=""239.4387""","=""0.0008""","=""1*""","=""5.328e+05""","=""2.291e-04""","=""-3.3389""",AA,"=""0.000000""","=""5.176542""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T6835""","=""L7397""",
"=""242.543""","=""242.5426""","=""0.0008""","=""3*""","=""1.530e+06""","=""6.748e-04""","=""-2.870""",AA,"=""0.000000""","=""5.110300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T6835""","=""L7397""",
