obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""17.724""","=""0.005""","=""17.724""","=""0.006""","=""""","=""1.5e+10""","=""7.2e-02""","=""-1.1""",E,"=""0.00000""","=""69.952""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""1P*""","=""1""",,"=""T6036c79""","=""L4668""",
"=""30.0153""","=""0.0003""","=""30.01534""","=""0.00018""","=""160""","=""3.6e+09""","=""4.8e-02""","=""-1.3""",D,"=""0.00000""","=""41.306940""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
"=""30.0202""","=""0.0003""","=""30.02032""","=""0.00018""","=""160""","=""1.2e+09""","=""1.6e-02""","=""-1.8""",D,"=""0.00000""","=""41.300096""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
"=""30.1318""","=""0.0003""","=""30.13192""","=""0.00018""","=""90""","=""1.09e+09""","=""1.48e-02""","=""-1.83""",D,"=""0.00000""","=""41.147123""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
"=""30.1436""","=""0.0003""","=""30.14363""","=""0.00018""","=""100""","=""9.9e+09""","=""1.4e-01""","=""-0.87""",D+,"=""0.00000""","=""41.131145""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036""","=""L914""",
"=""30.2446""","=""0.0003""","=""30.24467""","=""0.00018""","=""60""","=""1.78e+08""","=""2.45e-03""","=""-2.611""",B,"=""0.00000""","=""40.993732""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T7663""","=""L914""",
"=""""","=""""","=""33.32179""","=""0.00022""","=""""","=""8.00e+04""","=""1.33e-06""","=""-5.88""",B,"=""0.00000""","=""37.208144""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3p""","=""3P""","=""2""",E2,"=""T7663""","=""""",
"=""""","=""""","=""33.42358""","=""0.00022""","=""""","=""2.25e+05""","=""3.77e-06""","=""-5.42""",B+,"=""0.00000""","=""37.094827""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3p""","=""1D""","=""2""",E2,"=""T7663""","=""""",
"=""""","=""""","=""33.59813""","=""0.00023""","=""""","=""3.20e+04""","=""5.42e-07""","=""-6.27""",C+,"=""0.00000""","=""36.902113""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3p""","=""3D""","=""2""",E2,"=""T7663""","=""""",
"=""37.2075""","=""0.0003""","=""37.2075""","=""0.0003""","=""300""","=""9.39e+09""","=""1.95e-01""","=""-0.710""",B+,"=""0.00000""","=""33.322360""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3s""","=""1P*""","=""1""",,"=""T6577""","=""L914""",
"=""37.6379""","=""0.0003""","=""37.6379""","=""0.0003""","=""350""","=""5.10e+08""","=""1.08e-02""","=""-1.967""",C,"=""0.00000""","=""32.941315""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3s""","=""3P*""","=""1""",,"=""T6577""","=""L914""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""231.5647""","=""0.0003""","=""231.5648""","=""0.0008""","=""300""","=""1.05e+07""","=""2.82e-03""","=""-2.073""",C+,"=""32.941315""","=""38.293859""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""1S""","=""0""",,"=""c49,T6036""","=""L914""",
"=""249.3149""","=""0.0003""","=""249.3148""","=""0.0009""","=""1000""","=""4.15e+08""","=""1.29e-01""","=""-0.412""",A,"=""33.322360""","=""38.293859""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1S""","=""0""",,"=""c49,T6036""","=""L914""",
"=""250.2839""","=""0.0003""","=""250.2838""","=""0.0009""","=""300""","=""3.6e+07""","=""1.1e-02""","=""-1.5""",E,"=""36.354688""","=""41.306940""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036c80""","=""L914""",
"=""250.6301""","=""0.0003""","=""250.6302""","=""0.0009""","=""450""","=""8.1e+07""","=""2.6e-02""","=""-1.1""",C+,"=""36.354688""","=""41.300096""","=""2s2.2p5.3p""","=""3S""","=""1""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663""","=""L914""",
