obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,gA(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""15.71""","=""0.01""","=""15.708""","=""0.010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""636600""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).3d.4p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""15.88""","=""0.02""","=""15.881""","=""0.020""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""629700""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).4s.5p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.16""","=""0.01""","=""16.158""","=""0.010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""618900""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.(2S).4s.4p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.67""","=""0.01""","=""16.667""","=""0.011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""600000""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).6s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.77""","=""0.01""","=""16.767""","=""0.011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""596400""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).5s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.82""","=""0.01""","=""16.818""","=""0.011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""594600""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).3d""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""16.91""","=""0.01""","=""16.909""","=""0.009""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""591400""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(1P*).4s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""17.06""","=""0.01""","=""17.059""","=""0.009""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""586200""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3p.(3P*).4s""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""17.87""","=""0.01""","=""17.870""","=""0.010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""559600""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.2p6.3s.(3S).4p""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""18.29""","=""0.01""","=""18.295""","=""0.010""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""546600""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.(2S).2p6.3s.3p.(1P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""18.680""","=""0.007""","=""18.680""","=""0.007""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""535330""","=""2p6.3s""","=""2S""","=""1/2""","=""2s.(2S).2p6.3s.3p.(3P*)""","=""2P*""","=""1/2,3/2""",,"=""""","=""L5279""",
"=""26.733""","=""0.001""","=""26.7330""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""374070""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).16s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.738""","=""0.001""","=""26.7380""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""374000""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).15s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.744""","=""0.001""","=""26.7440""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373916""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).14s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.754""","=""0.001""","=""26.7540""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373776""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).13s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.764""","=""0.001""","=""26.7640""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373636""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.766""","=""0.001""","=""26.7660""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373608""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).12s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.777""","=""0.001""","=""26.7770""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373455""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.783""","=""0.001""","=""26.7830""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373371""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).11s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.797""","=""0.001""","=""26.7970""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373176""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.806""","=""0.001""","=""26.8060""","=""0.0011""","=""a""","=""""","=""""","=""""",,"=""0.00000""","=""373051""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
