obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	""	"243.376496"	"0.000012"	""	"1.55e+04"	"6.88e-06"	"-4.862"	C+'	"0.000000000"	"[5.09279242]"	"2p6.3s"	"2S"	"1/2"	"2p6.18p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"243.376703"	"0.000012"	""	"7.74e+03"	"3.44e-06"	"-5.163"	C+'	"0.000000000"	"[5.09278808]"	"2p6.3s"	"2S"	"1/2"	"2p6.18p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"243.659344"	"0.000012"	""	"1.86e+04"	"8.26e-06"	"-4.782"	C+'	"0.000000000"	"[5.08688097]"	"2p6.3s"	"2S"	"1/2"	"2p6.17p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"243.659599"	"0.000012"	""	"9.28e+03"	"4.13e-06"	"-5.083"	C+'	"0.000000000"	"[5.08687564]"	"2p6.3s"	"2S"	"1/2"	"2p6.17p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"244.000936"	"0.000012"	""	"2.2e+04"	"1.0e-05"	"-4.70"	C+'	"0.000000000"	"[5.07976007]"	"2p6.3s"	"2S"	"1/2"	"2p6.16p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"244.001245"	"0.000012"	""	"1.1e+04"	"5.0e-06"	"-5.00"	C+'	"0.000000000"	"[5.07975362]"	"2p6.3s"	"2S"	"1/2"	"2p6.16p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"244.418818"	"0.000012"	""	"2.7e+04"	"1.2e-05"	"-4.61"	C+'	"0.000000000"	"[5.07107584]"	"2p6.3s"	"2S"	"1/2"	"2p6.15p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"244.419195"	"0.000012"	""	"1.4e+04"	"6.1e-06"	"-4.91"	C+'	"0.000000000"	"[5.07106803]"	"2p6.3s"	"2S"	"1/2"	"2p6.15p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"244.937663"	"0.000012"	""	"3.4e+04"	"1.5e-05"	"-4.51"	C+'	"0.000000000"	"[5.06033472]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"244.938137"	"0.000012"	""	"1.7e+04"	"7.7e-06"	"-4.81"	C+'	"0.000000000"	"[5.06032492]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"245.593045"	"0.000012"	""	"4.48e+04"	"2.03e-05"	"-4.392"	C+'	"0.000000000"	"[5.04683185]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"245.593648"	"0.000012"	""	"2.24e+04"	"1.01e-05"	"-4.693"	C+'	"0.000000000"	"[5.04681945]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"246.437851"	"0.000012"	""	"5.76e+04"	"2.62e-05"	"-4.280"	C+'	"0.000000000"	"[5.02953221]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"246.438640"	"0.000012"	""	"2.88e+04"	"1.31e-05"	"-4.581"	C+'	"0.000000000"	"[5.02951609]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"247.553565"	"0.000012"	""	"7.76e+04"	"3.57e-05"	"-4.147"	C+'	"0.000000000"	"5.00686591"	"2p6.3s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"3/2"		"T76n,T817"	""	
""	""	"247.554619"	"0.000012"	""	"3.88e+04"	"1.78e-05"	"-4.448"	C+'	"0.000000000"	"5.00684459"	"2p6.3s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"1/2"		"T76n,T817"	""	
""	""	"249.071261"	"0.000013"	""	"7.56e+04"	"3.52e-05"	"-4.152"	D+	"0.000000000"	"4.97635910"	"2p6.3s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"3/2"		"T76n"	""	
""	""	"249.072707"	"0.000013"	""	"3.78e+04"	"1.76e-05"	"-4.453"	D+	"0.000000000"	"4.97633022"	"2p6.3s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"1/2"		"T76n"	""	
