obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"299.9776"	"0.0005"	"299.9774"	""	"1.1e+03"	"7.7e-07"	"-5.81"	D+	"0.0000000"	"4.131914"	"4p6.5s"	"2S"	"1/2"	"4p6.20p"	"2P*"	"1/2"		"T7227"	"L3287"	
"300.3862"	"0.0005"	"300.3859"	""	"8.20e+03"	"5.56e-06"	"-4.95"	B	"0.0000000"	"4.126295"	"4p6.5s"	"2S"	"1/2"	"4p6.19p"	"2P*"	"3/2"		"T7227"	"L3287"	
"300.3923"	"0.0005"	"300.3920"	""	"1.7e+03"	"1.18e-06"	"-5.63"	C+	"0.0000000"	"4.126210"	"4p6.5s"	"2S"	"1/2"	"4p6.19p"	"2P*"	"1/2"		"T7227"	"L3287"	
"300.8847"	"0.0005"	"300.8844"	""	"1.06e+04"	"7.2e-06"	"-4.84"	C+	"0.0000000"	"4.119458"	"4p6.5s"	"2S"	"1/2"	"4p6.18p"	"2P*"	"3/2"		"T7227"	"L3287"	
"300.8923"	"0.0005"	"300.8920"	""	"2.10e+03"	"1.43e-06"	"-5.54"	C+	"0.0000000"	"4.119354"	"4p6.5s"	"2S"	"1/2"	"4p6.18p"	"2P*"	"1/2"		"T7227"	"L3287"	
"301.4938"	"0.0005"	"301.4936"	""	"1.30e+04"	"8.89e-06"	"-4.75"	B	"0.0000000"	"4.111135"	"4p6.5s"	"2S"	"1/2"	"4p6.17p"	"2P*"	"3/2"		"T7227"	"L3287"	
"301.5029"	"0.0005"	"301.5027"	""	"2.78e+03"	"1.89e-06"	"-5.42"	C+	"0.0000000"	"4.111011"	"4p6.5s"	"2S"	"1/2"	"4p6.17p"	"2P*"	"1/2"		"T7227"	"L3287"	
"302.2478"	"0.0005"	"302.2475"	""	"1.65e+04"	"1.13e-05"	"-4.65"	B	"0.0000000"	"4.100880"	"4p6.5s"	"2S"	"1/2"	"4p6.16p"	"2P*"	"3/2"		"T7227"	"L3287"	
"302.2591"	"0.0005"	"302.2589"	""	"3.54e+03"	"2.42e-06"	"-5.32"	B	"0.0000000"	"4.100727"	"4p6.5s"	"2S"	"1/2"	"4p6.16p"	"2P*"	"1/2"		"T7227"	"L3287"	
"303.1979"	"0.0005"	"303.1976"	""	"1.97e+04"	"1.36e-05"	"-4.57"	B+	"0.0000000"	"4.088031"	"4p6.5s"	"2S"	"1/2"	"4p6.15p"	"2P*"	"3/2"		"T7227"	"L3287"	
"303.2120"	"0.0005"	"303.2117"	""	"4.98e+03"	"3.43e-06"	"-5.164"	B+	"0.0000000"	"4.087841"	"4p6.5s"	"2S"	"1/2"	"4p6.15p"	"2P*"	"1/2"		"T7227"	"L3287"	
"304.4182"	"0.0005"	"304.4179"	""	"3.28e+04"	"2.28e-05"	"-4.34"	B	"0.0000000"	"4.071644"	"4p6.5s"	"2S"	"1/2"	"4p6.14p"	"2P*"	"3/2"		"T7227"	"L3287"	
"304.4368"	"0.0005"	"304.4365"	""	"7.44e+03"	"5.17e-06"	"-4.985"	B+	"0.0000000"	"4.071396"	"4p6.5s"	"2S"	"1/2"	"4p6.14p"	"2P*"	"1/2"		"T7227"	"L3287"	
"306.0247"	"0.0005"	"306.0245"	""	"4.20e+04"	"2.95e-05"	"-4.23"	B+	"0.0000000"	"4.050270"	"4p6.5s"	"2S"	"1/2"	"4p6.13p"	"2P*"	"3/2"		"T7227"	"L3287"	
"306.0491"	"0.0005"	"306.0488"	""	"9.02e+03"	"6.34e-06"	"-4.90"	B	"0.0000000"	"4.049948"	"4p6.5s"	"2S"	"1/2"	"4p6.13p"	"2P*"	"1/2"		"T7227"	"L3287"	
